theme,title,text
culture,президентская библиотека пополнила коллекцию редких книг о грибоедове,"президентская библиотека имени бориса ельцина к 221-летию со дня рождения александра грибоедова пополнила коллекцию редких книг и документов, в которой широко представлена личность и деятельность русского дипломата и драматурга. президентская библиотека в санкт-петербурге имеет статус национальной и открыта для посетителей с 2009 года. 221 год со дня рождения автора ""горя от ума"" исполняется 15 января 2016 года. коллекция, посвящённая грибоедову, насчитывает порядка 40 документов, при её подготовке были использованы материалы из фондов российского государственного педагогического университета им. герцена, российской государственной библиотеки, российской национальной библиотеки, государственной публичной исторической библиотеки, московской областной государственной научной библиотеки, тюменской областной научной библиотеки, детского музея открытки и других собраний. русский драматург, дипломат, композитор александр сергеевич грибоедов вошел в историю, не только, как автор комедии ""горе от ума"", но и как блестящий дипломат, способный находить общий язык с этнически пестрым населением востока и его лидерами. в 1818 году он был назначен секретарем русской миссии в персию (ныне иран), с 1822 года грибоедов в тифлисе (ныне тбилиси, грузия) занимал должность секретаря по дипломатической части. осенью 1826 года принял участие в нескольких сражениях начавшейся русско-персидской войны, привезя в петербург документы туркманчайского мирного договора с персией в марте 1828 года, за что получил назначение полномочным министром (послом) в персию. в персии в числе других дел грибоедов занимался отправкой на родину плененных подданных россии. обращение к нему за помощью двух женщин-армянок, попавших в гарем знатного персиянина, явилось поводом для расправы с дипломатом — реакционные тегеранские круги, недовольные миром с россией, натравили фанатически настроенную толпу на русскую миссию и 11 февраля 1829 года во время разгрома русской миссии в тегеране грибоедов был убит."
culture,мосгордума рассмотрит вопрос о высоте памятника князю владимиру,"комиссия по монументальному искусству при мосгордуме будет обсуждать композицию памятника князю владимиру на боровицкой площади в москве, в том числе высоту монумента, однако вопрос о месте установки уже решен, несмотря на рекомендации юнеско, сообщил риа новости в пятницу глава комиссии лев лавренов. памятник князю владимиру планируется установить на боровицкой площади весной 2016 года. это место было выбрано жителями столицы в результате интернет-опроса, которое проводило российское военно-историческое общество, а также согласно результатам голосования на портале ""активный гражданин"". территория является буферной зоной объекта всемирного наследия юнеско ""московский кремль и красная площадь"", поэтому российская сторона уведомила юнеско о своих планах по установке памятника. при этом, по словам автора скульптуры салавата щербакова, высота монумента вместе с постаментом составит 15 метров. в начале ноября был открыт закладной камень на месте памятника. ранее лавренов заявил риа новости, что юнеско согласовало установку памятника только при условии, что его высота не будет превышать восьми метров.  депутаты мосгордумы согласны с советом юнеско в том, что к выбранному для установки памятнику месту — боровицкой площади — нужно относиться с осторожностью, добавил он. по словам лавренова, комиссия на заседании рассмотрит всю композицию памятника, которую предложит авторский коллектив. однако касательно места установки памятника власти москвы более категоричны. ""там заложен камень. памятник там должен быть, так считает дума. был опрос в москве, москвичи склонились к этому месту"", — отметил лавренов. он уточнил, что сначала комиссия рассмотрит проект и внесет свои предложения, а затем окончательное решение будет принимать сама мосгордума. ""а само место рассматривалось на одном из заседаний думы в ноябре, и это место было согласовано. так что здесь никаких противоречий нет"", — подытожил глава комиссии."
culture,"анимационный фильм бронзита имеет все шансы получить ""оскар""","анимационный фильм константина бронзита ""мы не можем жить без космоса"" имеет высокие шансы на получение кинопремии ""оскар"". такое мнение высказали эксперты, опрошенные риа новости. российский короткометражный мультфильм бронзита ""мы не можем жить без космоса"", получивший более 50 международных премий, номинирован также на премию американской киноакадемии. в номинации ""лучший короткометражный анимационный фильм"" с лентой бронзита конкурируют фильмы ""пролог"" ричарда уилльямса (prologue, канада, великобритания), "" санджай и его команда"" санджая пателя (sanjay""s super team, сша), ""мир будущего"" дона херцвельда (world of tomorrow, сша), ""медвежья история"" габриэля осорио (bear story, чили). константин бронзит с 2009 года является членом американской академии киноискусств ""оскар"", также он лауреат французской премии ""сезар"" и отечественных ""ники"" и ""золотого орла"". режиссёр также известен широкой публике своим полнометражным мультфильмом ""алеша попович и тугарин змей"". шансы велики у бронзита уже была попытка получить статуэтку — в 2008 году в пятерку номинантов попал его короткометражный фильм ""уборная история — любовная история"" (lavatory – lovestory). ""костя не в первый раз штурмует эту высоту, уже была попытка с ""lavatory – lovestory"", и можно только пожелать ему удачи, чтобы эта высота в виде человечка со сдвинутыми ручками все-таки попала на костину полочку для призов"", — отметил художник-мультипликатор и режиссер, преподаватель курсов режиссеров и аниматоров ""союзмультфильма"" михаил тумеля. по его словам, факт того, что фильм бронзита вошел в список номинантов на ""оскар"" – радостная весть не только для российских аниматоров, но и для всех любителей кино. ""потому что, что бы ни говорили злые языки, ""оскар"" — это одна из самых уважаемых и давних кинематографических премий, и нужно сильно постараться, чтобы попасть в шорт-лист"", — подчеркнул эксперт. ""я голосовал за ""мы не можем жить без космоса"" даже тогда, когда был в жюри суздальского фестиваля, мне он очень нравится, и я считаю, что это очень достойная и весомая заявка на эту кинематографическую премию"", — добавил собеседник агентства. попасть в пятерку — уже престижно продюсер студии ""мельница"", которая занималась производством мультфильма, александр боярский, убежден, что бронзит может получить награду по вполне объективным причинам, но напоминает, что ""оскар"" — это в какой-то степени лотерея ""нужно учитывать, что в номинации собраны пять лучших фильмов со всего мира, поэтому попасть в пятерку — это уже очень хорошо"", — уточнил он. лауреат премии ""золотой орел"", художник и режиссер анимационного кино святослав ушаков (""белка и стрелка. звездные собаки"") в свою очередь подчеркнул, что режиссер бронзит является одним из самых сильных в российской анимации. ""я даже затрудняюсь сказать, кто еще с короткометражкой мог бы выйти на ""оскара"". шансы у него очень велики, я бы дал процентов 90. будет здорово, если кроме (режиссера-аниматора александра) петрова ""оскар"" будет еще и у бронзита"", — прокомментировал риа новости ушаков. ""может, тогда на нас будут больше обращать внимание, ""оскар"" докажет, что российская анимация лучше, чем кино"", — добавил он. ""старик и море"" петрова получил награду в 2000 году."
culture,"продюсер: российский мультик бронзита имеет хорошие шансы на ""оскар""","анимационный фильм константина бронзита имеет объективные шансы на получение премии ""оскар"", заявил риа новости в пятницу александр боярский, продюсер студии ""мельница"", которая занималась производством мультфильма. российский короткометражный мультфильм бронзита ""мы не можем жить без космоса"", получивший более 50 международных премий, номинирован и на премию американской киноакадемии. в номинации ""лучший короткометражный анимационный фильм"" с лентой бронзита конкурируют фильмы ""пролог"" ричарда уилльямса (prologue, канада, великобритания), "" санджай и его команда"" санджая пателя, (sanjay""s super team, сша), ""мир будущего"" дона херцвельда, (world of tomorrow, сша), ""медвежья история"" (bear story, чили). в 2009 году в пятерку номинантов на премию ""оскар"" попал другой короткометражный фильм бронзита: ""уборная история — любовная история"".  он напомнил, что производство фильма заняло достаточно много времени, около четырех с половиной лет. константин бронзит с 2009 года является членом американской академии киноискусств ""оскар"", также он лауреат французской премии ""сезар"" и отечественных ""ники"" и ""золотого орла"". режиссёр известен широкой публике своим полнометражным мультфильмом ""алеша попович и тугарин змей"". церемония вручения наград, 88-я по счету, состоится в голливуде 28 февраля."
culture,"""скандальный концерт"" авангардистов повторят в гмии им. пушкина","произведения композиторов-авангардистов начала xx века — арнольда шёнберга, игоря стравинского, мориса равеля – прозвучат на ""скандальном концерте"" в гмии имени пушкина 21 января, сообщает пресс-служба министерства культуры в пятницу. ""в белом зале гмии им. а.с.пушкина состоится концерт-лекция ""премьера ""скандального концерта"" через сто лет"". в программе — произведения легендарных композиторов-авангардистов начала xx века – арнольда шенберга, игоря стравинского, мориса равеля и мориса деляжа"", — говорится в сообщении. в 1913 году программа произведений этих музыкантов должна была предстать перед публикой в так называемом ""скандальном концерте"" в качестве ""пощечины общественному вкусу"" и тем, кто не признает современное искусство. события первой мировой войны вмешались в планы интернационального союза музыкантов — в 1914 году из программы парижского концерта ""музыкального общества независимых"" был исключен опус шёнберга. это в корне изменило концепцию всего концерта, задуманного как серия вариаций на тему вокально-инструментального цикла ""лунный пьеро"". спустя 100 лет задуманный в 1913 году концерт в его полной версии пройдет в гмии им. а.с. пушкина. в нем примут участие дирижер большого театра алексей богорад, солистка театра ""геликон-опера"" алиса гицба, солистка ""новой оперы"" екатерина кичигина, инструментальный ансамбль солистов из оркестров ""новая россия"", московского академического музыкального театра имени к.с. станиславского и в.и. немировича-данченко и ансамбля ""студия новой музыки""."
culture,милонов предложил не пускать зверева и познера в петербург,"петербург, 15 янв – риа новости. депутат петербургского парламента виталий милонов предложил создать список персон нон-грата для неуважительно высказывающихся о петербуржцах людей, куда могут быть, по его мнению, включены стилист сергей зверев и журналист владимир познер. стилист сергей зверев в интервью сми подверг критике манеру петербуржцев одеваться в снегопад и сравнил их с бездомными. зверев посоветовал жителям культурной столицы следовать его примеру и творчески подойти к выбору своего гардероба. познер ранее назвал петербург одним из самых нетолерантных городов. ""неуважаемому господину звереву не стоит забывать, что он всего лишь гость в нашем городе, которому не рады. здесь его терпят. он не должен забывать свое место. возможно, имеет смысл нам в петербурге создать некий список персон нон-грата для людей, которые неуважительно высказываются о наших земляках и городе в целом. и почетное первое невъездное место должен взять этот субъект неопределенного пола"", — заявил милонов риа новости. по мнению депутата, в этот список могут войти и другие москвичи, например, владимир познер, который, по словам милонова, в свое время нелестно отозвался о культурной столице. депутат милонов получил широкую известность как автор петербургского закона о запрете пропаганды гомосексуализма. кроме того, парламентарий в числе прочих активистов был против концерта мадонны в петербурге, считая себя оскорбленным ее выступлением в поддержку гомосексуалистов."
culture,"выходные в москве: выставка серова и ""щелкунчик"" в стиле хип-хоп","оценить эксперимент американского хореографа дженнифер вебер ""щелкунчик в стиле хип-хоп"", сходить на концерты чичериной и группы ""несчастный случай"", а также попробовать успеть на выставку валентина серова в третьяковской галерее, которая закрывается через неделю, можно будет в эти выходные в москве. музе ближайшие суббота и воскресенье — шанс для тех, кто еще не успел, сходить на выставку работ одного из наиболее любимых русских художников, крупнейшей и ключевой фигуры своего времени валентина серова в третьяковской галерее. время работы выставки продлили еще на неделю — до 24 января. как сообщили риа новости в пресс-службе музея, выставку уже посетили 360 тысяч человек. в московском музее современного искусства на петровке можно посмотреть на пишущие машинки льва толстого, бориса пастернака и александра солженицына на выставке ""200 ударов в минуту"". этот мультимедийный проект представляет собой культурологическое исследование, задачей которого является попытка определить значение пишущей машинки для русской литературы и искусства в частности и для истории россии прошлого столетия в целом.  в манеже открылась выставка, посвященная 90-летию скульптора эрнста неизвестного. в экспозицию вошли более ста работ неизвестного из собрания коллекционера феликса комарова. на выставке экспонируется более 20 скульптур 1960х-2000х годов, в том числе монументальные работы редкие для частных коллекций. театры на сцене музыкального театра им. станиславского и немировича-данченко американский хореограф дженнифер вебер 15 и 16 января представит спектакль ""щелкунчик в стиле хип-хоп"" (the hip hop nutcracker). в спектакле вебер действие знаменитой сказки гофмана перенесено в наше время. благодаря чарам дроссельмейра мария-клара и ее принц, щелкунчик, путешествуют во времени к тому моменту, когда ее родители познакомились в ночном клубе в нью-йорке 1980-х годов. ""меня всегда интересовало, как классические произведения шекспира переделывают на современный лад, — рассказала в интервью риа новости вебер. — и по аналогии с драматическими опытами возникла идея попробовать осовременить и классический балет. в балете язык — это танец, и мне захотелось создать новый язык — современный аналог классическому танцу"". танцовщики, участвующие в постановке новой версии ""щелкунчика"", — признанные авторитеты в своем жанре, звезды современного танца. в их биографиях — выступления с известным рэпером снуп догом, певцом фарреллом уильямсом, легендарным исполнителем томом джонсом, группой blue. артисты работают в бродвейских мюзиклах, выступают на церемониях mtv european music awards, brit awards и других. вместе с ними среди главных действующих лиц на сцене — ди-джей и скрипач. концерты меломанам в предстоящие выходные скучать не придется. предваряет уик-енд концерт мелодичной инди-группы pompeya, в клубе ""шестнадцать тонн"" музыканты исполнят уже полюбившиеся хиты и новые песни с вышедшего в 2015 году альбома ""real"". также в этот день в клубе yotaspace выступят ветераны московской рок-лаборатории — группа ""монгол шуудан"" известна целевой аудитории классическими пластинками ""паровоз-анархия"" и ""собачья чушь"", а всем остальным — нечаянным шлягером ""москва"" на стихи сергея есенина. в субботу там же даст концерт одна из представительниц так называемой ""новой волны уральского рока"" юлия чичерина. в 2015 году у нее вышел альбом ""сказка о странствии и поиске счастья"". в ""шестнадцати тоннах"" 16 января выступит группа алексея кортнева ""несчастный случай"", а также московский дарк-поп дуэт elekt­romo­nte­ur. более того, в клубе red группа ""пилот"" отпразднует свой день рождения ""со всей широтой музыкальной души"". как сообщает пресс-служба клуба, зрителей ждут ""золотые хиты, излюбленные раритеты и неожиданные сюрпризы"". а в клубе volta любителей телешоу ""голос"" ждет выступление наргиз закировой. она пока имеет один альбом, записанный в 2011 году. кино в кинотеатрах в выходные можно будет увидеть новый фильм квентина тарантино ""омерзительная восьмерка"" о пестрой компании затерянных в снегах путешественников, среди которых охотник за головами, ковбой, генерал конфедератов и мексиканец. тарантино продолжает начавшуюся еще в ""бесславных ублюдках"" историческую тему и на этот раз запечатлевает сша xix века после окончания гражданской войны.  любители спортивных драм могут сходить на фильм ""крид: наследие рокки"" со сильвестром сталлоне и майклом б. джорданом в главных ролях. на этот раз на ринг выйдет адонис джонсон (джордан) — сын соперника, а позже лучшего друга рокки бальбоа аполло крида. не обойдется в кинотеатрах и без русских фильмов. кинокритик роман волобуев представляет свой режиссерский дебют — психологический триллер о разлюбившей друг друга паре в исполнении дарьи чаруши (""мертвые дочери"", ""любовь в большом городе 3"", ""звезда"") и александра молочникова (""братья ч"", ""чемпионы"", ""паук""). маленькие зрители смогут посмотреть очередной фильм о бурундуках элвине, саймоне и теодоре ""элвин и бурундуки: грандиозное бурундуключение"". по словам режиссера фильма уолта бекера, в этот раз ""бурундуки немного подросли, и этот фильм уже посвящен поискам себя и смысла жизни""."
culture,итальянец фурланетто споет в постановке оперы верди в мариинке,"редко появляющуюся на афишах российских театров оперу джузеппе верди ""симон бокканегра"" по одноименной драме антонио гарсиа гутьерреса в новом году 5 и 7 февраля представит мариинский театр: в роли якопо фиеско выступит знаменитый итальянский бас ферруччо фурланетто, сообщили риа новости в пресс-службе театра. действие оперы ""симон бокканегро"" происходит в генуе с 1339 по 1363 год. бывший корсар симон любит марию, дочь дожа генуи фиеско. но фиеско против связи дочери с простолюдином. мировая премьера оперы ""симон бокканегра"" состоялась в 1857 году на сцене театра ""ла фениче"", по заказу которого и была написана композитором на либретто марии пьяве. но публика не проявила к этой опере верди большого интереса, и новых постановок не было. и только спустя четверть века в 1881 году верди с помощью либреттиста арриго бойто создал вторую редакцию, переработав и музыкальную, и литературную основу оперы. премьера новой редакции состоялась на сцене театра ла скала 24 марта 1881 года.  ""я остался верен тексту, пытаясь подчеркнуть то, что, по моему мнению, является здесь ключевым моментом — море. для такого человека, как симон бокканегро, важно всегда иметь видимый горизонт, но боль и интриги власти застилают его"", — цитирует пресс-служба слова де роза. февральская премьера ""симона бокканегро"" на сцене мариинского-2 — первое полноценное сценическое воплощение этой оперы верди в этом театре — ранее она звучала здесь лишь в концертном исполнении. в спектакле главные партии исполнят солисты оперы мариинского театра. в роли якопо фиеско выступит ферруччо фурланетто, исполнявший ранее эту партию в ла скала и венской опере. на спектаклях 5 и 7 февраля за дирижерским пультом симфонического оркестра театра — маэстро валерий гергиев."
culture,юнеско не одобряет памятник князю владимиру на боровицкой площади,"международный совет юнеско в ответ на обращение депутата мосгордумы елены шуваловой сообщил, что не рекомендует ставить памятник князю владимиру на боровицкой площади в москве, сообщила в пятницу пресс-служба фракции кпрф в мосгордуме. памятник князю владимиру планируется установить на боровицкой площади весной 2016 года. территория является буферной зоной объекта всемирного наследия юнеско ""московский кремль и красная площадь"", поэтому российская сторона уведомила юнеско о своих планах по установке памятника. при этом, по словам автора скульптуры салавата щербакова, высота монумента вместе с постаментом составит 15 метров. в начале ноября был открыт закладной камень на месте памятника. ранее глава комиссии по монументальному искусству при мосгордуме лев лавренов заявил риа новости, что юнеско согласовало установку памятника только при условии, что его высота не будет превышать восьми метров. ""в адрес депутата фракции кпрф в мосгордуме елены шуваловой в ответ на её обращение к генеральному директору юнеско ирине боковой поступило письмо ответственного секретаря комиссии рф по делам юнеско григория орджоникидзе. в ответе говорится о том, что решение о возведении памятника князя владимиру на боровицкой площади в рамках мероприятий, посвящённых 1000-летия преставления святого равноапостольного великого князя владимира, было принято московской городской думой без каких-либо консультаций с мид россии и без учёта требования конвенции юнеско 1972 года ""об охране всемирного культурного и природного наследия"", — говорится в сообщении думы. международный совет по сохранению памятников и достопримечательных мест (консультативный орган юнеско) заявил, что ""установка памятника может иметь негативные последствия для выдающегося всемирного значения объекта"" и ""для устранения возможности такого воздействия рекомендуется подобрать для монумента другое место"", добавили в пресс-службе. совет порекомендовал провести разъяснительные работы, в том числе среди депутатов, по вопросам выполнения обязательств, вытекающих из участия россии в международных договорах. ранее исполнительный директор российского военно-исторического общества (рвио) владислав кононов сообщил риа новости, что заключение юнеско по памятнику князю владимиру на боровицкой площади в москве носит рекомендательный характер и не повлияет на решение об установке монумента. по его словам, в соответствии с рекомендациями юнеско памятник могут передвинуть или понизить его высоту, и власти города будут прислушиваться к этим рекомендациям."
culture,мастер-классы баскова в мпгу будут посвящены сценической подготовке,"мастер-классы народного артиста россии николая баскова в московском педагогическом государственном университете (мпгу) будут в первую очередь касаться вокального направления, а также сценической подготовки, сообщил риа новости ректор вуза алексей семенов. официальный сайт мпгу в четверг сообщил, что басков станет преподавателем вуза. ""в первую очередь это наше вокальное направление. но с другой стороны мы уверены, что часть его педагогической деятельности, в том числе и мастер-классы, которые он будет давать, очень существенны для всех наших студентов и преподавателей тоже"", — рассказал семенов. как пояснил ректор, подготовка педагогов, начиная с учителей начальной школы и дефектологов, объединена в институт детства, где учится порядка двух тысяч студентов. они изучают также и сценическую практику. ""педагог – в том числе и артист. культура работы с собственным голосом — это тоже важно для любого учителя. ну, хотя бы из чисто практических соображений, что нужно говорить ясно, громко и долго. а это элемент культуры и практики работы с собственным голосом"", — уточнил он. по словам семенова, мастер-классы будут открытыми для всего коллектива мпгу, как студентов, так и преподавателей. кроме того, не исключено, что видеозаписи этих уроков станут доступны широкой общественности. известный эстрадный и оперный певец ранее также являлся профессором кафедры вокала в московском государственном гуманитарном университете имени м.а. шолохова, который в 2015 году был присоединен к мпгу."
