theme,title,text
economy,на изготовление школьной формы выделят около 600 млн рублей,"около 600 миллионов рублей выделяется на поддержку отечественной легкой промышленности, речь идет о предприятиях, изготавливающих школьную форму, сообщил глава минпромторга денис мантуров. ""поддержана мера стимулирования предприятий швейных, которые будут шить школьную форму из российских комольных тканей. этот объем, примерно — 600 миллионов рублей, но эта цифра будет корректироваться"", — сказал он журналистам. мантуров рассказал также об изменении требований, которые позволят относить предприятия легпрома к малому и среднему бизнесу. ""это существенная мера поддержки, она даст возможность предприятиям получать кредиты госкорпораций мсп, обеспечит и поддержку в части кредитов на оборотные средства и по тем инвестиционным проектам, которые запланированы нашими предприятиями"", — отметил министр. он также отметил, что это позволит получать кредиты у коммерческих банков. ""помимо упомянутых конкретных отраслей, речь шла еще о межотраслевой субсидии"", — сказал он."
economy,"острые заявления гайдаровского форума: рф-дауншифтер, призрак 98-го","первое крупное экономическое событие 2016 года — ежегодный гайдаровский форум в ранхигс — завершилось в москве. на три дня форум стал главной площадкой для острых дискуссий и обсуждений, в которых принимали участие представители российского правительства и эксперты. одной из главных тем форума стало публичное объявление российскими властями планов оптимизировать бюджет за счет сокращения его расходов на 10%. эксперты и политики также озвучивали свои порой не самые оптимистичные прогнозы относительно экономики рф, связанные с этим высокие инфляционные ожидания, а банк россии заявил о сохранении жесткой бюджетной политики. силуанов предупредил о призраке 1998 года ""наша задача сейчас — привести бюджет в соответствие с новыми реалиями. если мы этого не сделаем, то произойдет то же самое, что было в 1998–1999 годах: население заплатит через инфляцию за то, что мы не сделали в рамках приведения бюджета в соответствие с новыми реалиями"", — заявил министр финансов антон силуанов в первый день форума. экономический кризис 1998 года стал одним из самых масштабных в современной истории россии — например, инфляция в тот год достигла 84,5%. греф включил россию в список стран-дауншифтеров кудрин видит политические дивиденды в повышении пенсионного возраста в рф в феврале минэкономразвития собирается представить первую версию стратегии социально-экономического развития страны до 2030 года."
economy,украинская корпорация roshen продает свою фабрику в россии за $200 млн,"кондитерская корпорация roshen, принадлежащая президенту украины петру порошенко, выставила на продажу свою фабрику в россии, оценив ее стоимость в 200 миллионов долларов, заявил генеральный директор корпорации вячеслав москалевский в интервью изданию ""ліга.net"", опубликованном в пятницу. ранее российские следователи в ходе расследования уголовного дела арестовали имущество липецкой фабрики компании на два миллиарда рублей. в частности, арест был наложен на ряд зданий (склад, четыре цеха, подсобный корпус), а также на семь земельных участков, принадлежащих липецкой фабрике. отвечая на вопрос о сумме, в которую компания оценила стоимость своих российских активов, он сказал: ""мы выставили их примерно за $200 млн"". roshen — один из крупнейших в мире производителей кондитерских изделий, выпускающий 450 тысяч тонн продукции в год. компания принадлежит украинскому президенту петру порошенко."
economy,мэр ухудшило прогноз экономики россии до условно-оптимистичного уровня,"минэкономразвития рф обновило прогноз на 2016 год, приблизив его к реальности — это позволит переписать ""оптимистичный"" бюджет и санкционировать ""затягивание поясов"" по всем направлениям. однако даже свежие расчеты министерства могут оказаться слишком радужными из-за продолжающегося падения цен на нефть, предупреждают опрошенные риа новости аналитики. газета ""ведомости"" в пятницу опубликовала основные параметры скорректированного социально-экономического прогноза минэкономразвития на текущий год. согласно новым вводным, среднегодовая цена нефти urals снижена с 50 до 40 долларов за баррель. в связи с этим уточнению подверглись и все остальные макропоказатели: ввп сократится на 0,8% против ожидавшегося роста на 0,7%; среднегодовой курс рубля к доллару составит 68,2; инфляция — 8,5%; падение реальных доходов населения достигнет 4%; отток капитала составит 50 миллиардов долларов. основа для сокращения  ""с точки зрения технической правки бюджета, наверное, у нового прогноза позитивная роль, потому что он сделает бюджет несколько более реалистичным. в целом же речь идет фактически о стагнации экономики"", — сказал девятов риа новости. согласны с ним и аналитики ing. ""новый макроэкономический прогноз, действительно, позволит скорректировать параметры бюджета, однако властям все-таки придется искать дополнительные источники доходов и финансирования дефицита"", — пишут они в ежедневном мониторинге. о необходимости сокращения неэффективных бюджетных трат заявил в пятницу и премьер-министр дмитрий медведев. он призвал мобилизовать доходы бюджета, в том числе за счет приватизации, скорректировать расходную часть и привести ее в соответствие с ожидаемыми доходами. кроме того, глава кабмина предложил установить в бюджете рф коридор цен на нефть, максимально его сузив. традиционно в федеральный бюджет закладывается среднегодовая прогнозная цена на нефть urals, основной товар российского экспорта. бюджет текущего года верстался, исходя из среднегодовой цены в 50 долларов за баррель. власти рф уже заявили, что эта цена слишком оптимистична и может потребоваться корректировка бюджета.   "
economy,"рынок акций рф падает на 5-6,5% по индексам вслед за нефтью и рублем","рынок акций рф в пятницу на вечерних торгах упал в пределах почти 6,5%, обновив минимумы по основным индексам на фоне падения рубля к доллару и евро и цены на нефть по марке brent ниже 30 долларов за баррель. индекс ммвб к 17.01 мск снизился на 4,81% — до 1599,85 пункта, индекс ртс — на 6,39% — до 648,71 пункта, следует из данных московской биржи. курс доллара расчетами ""завтра"" рос на 1,63 рубля — до 77,69 рубля, курс евро — на 2,45 рубля, до 85,06 рубля. мартовский фьючерс на нефть марки brent падал на 3,84% — до 29,7 доллара за баррель. ""к середине дня российский рынок активно снижался на высоких объемах. надежды на отскок нефти не реализовались, и пробой вниз уровня в 30 долларов перед выходными оказался слишком угрожающим. индекс ммвб пробил последовательно несколько поддержек и может вполне быстро достичь своей цели в 1570 пунктов"", — комментирует аналитик ""открытие брокер"" андрей кочетков. на падающем рынке  среди растущих акций – акции ""соллерса"" (0,53%) и акции пика (0,05%). наибольшее падение демонстрируют акции ""акрона"" (-7,24%), ""русгидро"" (-7,16%), тмк (-6,88%), акции ""фосагро"" (-6,64%), бумаги ""мечела"" (привилегированные акции падают на 6,06%, обыкновенные — на 6,4%), а также акции лср (-6,36%), бумаги сбербанка (привилегированные акции падают на 5,04%, обыкновенные — на 6,02%), фск ""еэс"" (-6,13%). ""поскольку падение на рынках начинает напоминать свободное, то остается напомнить совет начала недели: контроль плеча и накопление наличности. что же до коротких позиций, то стоит также помнить, что ускорение падения или роста часто являются предвестниками смены тенденции"", — отмечает он."
economy,"экс-инженер ""макларена"" и ""феррари"" томбасис стал главным по аэродинамике в ""маноре""","бывший инженер команд ""формулы-1"" ""бенеттон"", ""макларен"" и ""феррари"" николас томбасис стал главой отдела аэродинамики в ""маноре"", сообщается на официальном сайте ""формулы-1"". доминирование ""мерседесов"", победа хэмилтона и успехи квята: итоги сезона ""формулы-1"" >>> томбасис работает в ""формуле-1"" с 1992 года. до декабря 2014 года на протяжении девяти лет он занимал пост главного конструктора ""феррари"". ""я очень рад перейти в ""манор"" на данном этапе развития команды. здесь впечатляющие планы. нынешняя группа конструкторов уже очень сильна, и я с нетерпением жду начала работы, чтобы претворить в жизнь большую часть тех возможностей, которые есть у нас, чтобы помочь развитию команды в течение следующих нескольких сезонов"", - сказал томбасис. прошлый чемпионат ""манор"" завершил на последнем, десятом, месте в кубке конструкторов, не набрав ни одного очка. по итогам сезона руководитель команды джон бут и спортивный директор грэм лоудон покинули ""манор"". гоночным директором команды был назначен дэйв райан, с которым томбасис работал в ""макларене""."
economy,медведев предложил сделать фнс куратором сбора фискальных платежей,"премьер-министр рф дмитрий медведев на встрече с президентом владимиром путиным доложил о подготовленном проекте указа, согласно которому за единый механизм администрирования налогов, таможенных платежей и страховых взносов в государственные внебюджетные фонды будет отвечать фнс. в систему будут включены платежи, собираемые фтс и росалкогольрегулированием, а также страховые взносы в социальные фонды, включая пфр. поручение по формированию единого механизма администрирования налогов, таможенных платежей и страховых взносов в государственные внебюджетные фонды было дано главой государства правительству в декабре в рамках послания парламенту. ""правительство проработало поручение, вытекающее из послания президента, и предлагает совершенствовать систему администрирования налоговых платежей следующим образом. с учетом того, что вообще за всю эту деятельность отвечает министерство финансов, предлагается создать единую систему администрирования налогов и неналоговых, то есть приравненных к налогам, платежей внутри системы минфина таким образом, чтобы внутри этой системы сохранилась федеральная налоговая служба, которая отвечает за общее методическое руководство, администрирование"", — рассказал медведев. ""также погрузить в эту систему федеральную таможенную службу, которая занимается сбором таможенных платежей, и соответственно перенести ее практически на те же методические рельсы, на которых работает в настоящий момент федеральная налоговая служба. и перевести в эту же систему росалкогольрегулирование"", — продолжил премьер. путин поинтересовался про сборы в пенсионную систему. ""это также предусматривается проектом указа, который мы вносим на ваше рассмотрение. предполагается, что пенсионные платежи, платежи в рамках социальных фондов можно было бы передать также в эту систему для того, чтобы администрирование этих платежей вела федеральная налоговая служба и принимала к ним те же самые методы администрирования, которые применяются к другим налогам. таким образом, возникнет единое ядро администрирования сборов и, соответственно, последующего использования всех налоговых и неналоговых платежей в стране"", — сказал медведев. ""хорошо"", — ответил путин."
economy,нефть снизилась более чем на 5% в ожидании возвращения ирана на рынок,"цена на нефть марки brent вслед за wti снизилась более чем на 5% на фоне сохраняющегося переизбытка сырья в мире и на опасениях инвесторов возвращения иранской нефти на рынок, свидетельствуют данные торгов. по состоянию на 15.56 мск стоимость мартовских фьючерсов на североморскую нефтяную смесь марки brent падала на 4,15% — до 29,61 доллара за баррель. ранее в ходе торгов стоимость марки brent опускалась более чем на 5%, до 29,32 доллара за баррель. цена февральских фьючерсов на нефть марки wti снижалась на 5,34% — до 29,54 доллара за баррель. ранее в январе посол ирана в рф сказал, что тегеран ожидает решения о снятии санкций ес в ближайшие дни после подтверждения магатэ соблюдения ядерных положений июльского соглашения по ирану. после этого стало известно, что ес отложил снятие экономических санкций с ирана до 28 января в рамках технических мер, необходимых перед подтверждением соглашения по иранской ядерной программе. ""сейчас неподходящее время для возвращения ирана как для рынка, так и для самой страны. было бы намного лучше, если бы иран вернулся на рынок, когда цены были около 100 долларов"", — заявили аналитики phillip futures агентству рейтер."
economy,чубайс ждет скорой революции в электроэнергетике,"альтернативная энергетика к 2020 году может производить в россии минимум 1500 мегаватт солнечной энергии и около 3000 мегаватт ветроэнергии, а промышленное хранение электроэнергии приведет к сокращению примерно трети существующих энергомощностей, считает глава корпорации ""роснано"" анатолий чубайс. ""в следующие 10 лет (в тепловой и угольной генерации — ред.) не предстоит никаких революций…. альтернативная энергетика — это дело серьезное"", — отметил чубайс, выступая на пленарной сессии гайдаровского экономического форума в ранхигс. ""в диапазоне десятилетнем, может быть, меньшем гораздо — 2,3 года — мир вступает в очень фундаментальный переход"", — добавил он. ""в этом смысле альтернативная энергетика радикально будет усиливать свои позиции и увеличивать долю генерации"", — считает он. это позволит к 2020 году получить минимум 1500 мегаватт солнечной энергии и порядка 3000 мегаватт ветрогенерации, уточнил чубайс. ""вот здесь как раз в россии мы встаем на пороге бурных изменений, мы не просто создаем солнечную энергетику, которая создается в россии на наших глазах… но я не вижу, к сожалению, выхода на какие-то следующие технологические переделы, которые сделали бы россию лидером в этих отраслях"", — сказал глава ""роснано"". в электроэнергетике, тем не менее, произойдет в ближайшие годы глубинный переворот, уверен он. ""промышленное хранение электроэнергии — это история 5-10 лет… это на всякий случай означает, что примерно треть мощностей электроэнергетики собственно становится ненужными"", — пояснил чубайс. промышленное хранение электроэнергии с возможностью ее использовать по необходимости чубайс назвал революцией. ""она коснется каждого дома, когда мы всерьез говорим о системах, которые в домашних условиях достаточно эффективны… в более сложном варианте обеспечивает независимость производителя от потребителя"", — ожидает он. ""в еще более сложном варианте, когда на уровне дома добавляется солнечная панель и этот дом становится генератором — это фундаментальные изменения во всей энергетической системе"", — прогнозирует чубайс."
economy,медведев: нужна единая система налоговых и неналоговых платежей,"медведев предложил путину создать единую систему налоговых и неналоговых платежей внутри минфина, фнс, фтс и росалкогольрегулированияриа новости"
economy,мэр рф предложило правила изъятия контрактов из-под мер против турции,"минэкономразвития россии разработало правила и условия для изъятия контрактов между российскими и турецкими организациями из-под специальных мер рф против турции, соответствующий документ опубликован на федеральном портале проектов нормативных правовых актов. ранее правительство поручило министерству совместно с заинтересованными ведомствами подготовить перечень контрактов, заключаемых с турецкими организациями, на поставку товаров (работ, услуг), в отношении которых специальные экономические меры не применяются. для участия в отборе российская организация должна не менее чем за два месяца до предполагаемой даты заключения контракта направить в мэр документы. основанием для отказа может быть возможность замены поставщика товаров или работ, а также отсутствие угроз для безопасности рф и негативного социально-экономического эффекта для рф в случае изменения стороны контракта. согласно документу, решение о включении контракта в перечень будет оформляться распоряжением правительства рф. документ находится на этапе независимой антикоррупционной экспертизы. согласно указу президента рф о спецмерах против турции и принятым в его развитие постановлениям правительства, с 1 января запрещен ряд видов деятельности в россии для организаций, находящихся под контролем турции, ее компаний и граждан, кроме того, российским работодателям запрещено нанимать граждан турции. по последнему пункту в конце декабря правительство опубликовало список из 53 российских организаций, которые смогут привлекать новых турецких сотрудников."
