,text,theme,title
0,"брат всемирно известной канадской певицы селин дион скончался спустя два дня после кончины супруга певицы, сообщает в субботу агентство франс пресс. агентство отмечает, что брат дион также скончался от онкологического заболевания. ""к сожалению, брат селин дион даниэль ушел из жизни этим утром в монреале"", - говорится в twitter о жизни певицы celine dion news. unfortunately celine dion's brother daniel passed away this morning in montreal. it's the 1st of 14 brothers and sisters to die. — celine dion news (@celinedionnews) 16 января 2016    муж селин дион рене анжелил скончался в ночь на пятницу в возрасте 73 лет в сша. причиной смерти супруга селин дион стал рак горла. дион — обладательница одного из наиболее узнаваемых голосов поп-сцены. победитель песенного конкурса ""евровидение"" в 1988 году (представляла швейцарию). в 1997 году джеймс кэмерон пригласил селин дион исполнить песню my heart will go on, которая стала темой фильма ""титаник"". эта композиция получила ""оскар"" (1998) и четыре ""грэмми"" (1999).",culture,брат певицы селин дион скончался через 2 дня после кончины ее супруга
1,"поклонники гарри поттера проведут в субботу вечером на марсовом поле в санкт-петербурге акцию памяти актера алана рикмана, сообщают организаторы в социальной сети ""вконтакте"". легендарный британский актер театра и кино алан рикман, известный молодому поколению по роли профессора северуса снейпа в фильмах о гарри поттере, в четверг скончался от рака в возрасте 69 лет. ""в эту субботу, 16 января, мы собираемся на марсовом поле для проведения акции памяти алана рикмана. организаторы будут ждать всех желающих почтить память актера в 18.00 в центре поля. воспроизводим сцену прощания с дамблдором (поднятые палочки с зажженными на концах огоньками / lumos)"", — сообщают организаторы.  они советуют всем, кто собирается участвовать в акции, одеваться потеплее и брать с собой термосы с горячим чаем или кофе. на акции приветствуется одежда черных цветов, любая атрибутика вселенной harry potter. также можно приносить с собой портреты и свечи. ""если у вас нет палочки или люмоса, или того и другого, вы все равно можете прийти, постоять, пообщаться с единомышленниками, по-своему отдать дань уважения"", — пишут они в соцсети. ""мы же знаем, что волшебники не умирают, а в том, что этот человек был настоящим волшебником, даже сомневаться не приходится. волшебники остаются в наших сердцах навсегда"", — отмечают организаторы акции. ",culture,"петербуржцы поднимут ""волшебные палочки"" в память об алане рикмане"
2,"голливудский актер леонардо ди каприо в интервью немецкому изданию welt am sonntag рассказал, что с удовольствием сыграл бы президента рф владимира путина. ""путин был бы очень, очень, очень интересным, я бы с удовольствием сыграл его"", — сказал актер изданию. актер сообщил, что лично встречался с путиным несколько лет назад в санкт-петербурге на форуме по спасению сибирских тигров. ""мой фонд оказывал финансовую поддержку нескольким проектам по защите этих хищных кошек. путин и я говорили только о защите этих великолепных животных, никакой политики"", — добавил ди каприо. он также рассказал о том, что очарован историей россии. ""ленин тоже был бы интересной киноролью. я бы с удовольствием сыграл и распутина. я считаю, что о русской истории должно быть больше фильмов"", — поделился актер. ",culture,ди каприо рассказал о желании сыграть владимира путина
3,"премьера боевика узбекских кинематографистов ""барон"" с участием российских актеров о борьбе с наркотрафиком, состоялась в субботу во дворце кино имени алишера навои в ташкенте. режиссер картины рустам садиев собрал в картине популярных узбекских актеров якуба ахмедова, джавахира закирова, рано шодиеву, а также российских кинозвезд андрея смолякова, виктора вержбицкого и андрея прилучного. из голливуда был приглашен участник франшизы ""пираты карибского моря"" американец сирийского происхождения гасан масуд. съемки ""барона"" велись не только в узбекистане, но и в россии и турции. впервые в кинопрактике узбекистана фильм был снят в сверхвысоком разрешении 4k, которое обеспечивает высокую четкость изображения для цифровых и домашних кинотеатров. один из главных героев ""барона"", боксер батыр попадает в тюрьму из-за банальной драки. его жена, стараясь вызволить мужа из тюрьмы, соглашается выполнить роль наркокурьера-глотателя. отправляясь со смертельным грузом в москву, она погибает в ташкентском аэропорту из-за разорвавшейся упаковки героина. батыр, охваченный жаждой мести, идет на сотрудничество со спецслужбами узбекистана, которые вместе с коллегами из россии, готовят сложную комбинацию по ликвидации транзитной сети поставок наркотиков из афганистана. в картине показана не только борьба сил правопорядка и наркобизнеса, но и противостояние различных ценностных ориентиров. ""барон"" — первая картина в моей фильмографии, которая, основываясь на реальных событиях и частных историях, затрагивает глобальную проблему борьбы с наркотиками, — сообщил садиев риа новости на премьере. — развитая инфраструктура в узбекистане влечет не только туристов и честный бизнес, но и наркоторговцев, стремящихся переправить эту ""черную смерть"" через территорию нашей страны"". по мнению режиссера, ""только общими усилиями можно поставить заслон этой беде"". ""в нашем фильме барьеры на этой пути ставят спецслужбы узбекистана совместно с зарубежными коллегами. когда я рассказал о замысле картины приглашаемым актерам, все они согласились сразу же"", — добавил он. ""фильм интересен не только своей художественностью, он важен, как профилактика и предостережение для молодежи"", — считает джавахир закиров, снявшийся в одной из главных ролей. создатели фильма в настоящий момент приступил к дубляжу картины на русский язык. планируется, что во второй половине 2016 года ""барон"" выйдет в прокат в россии.",culture,"в ташкенте прошла премьера ленты ""барон"" с участием российских актеров"
4,"международная выставка-конкурс современного искусства ""российская неделя искусств"" откроется в субботу в центральном доме художника (цдх). неделя искусств (artweek), как художественная выставка и международный арт-проект, проводится в 16 странах мира и дает возможность молодым талантам представить свои работы практически в одном ряду с именитыми мастерами. ставшая традиционной ""российская неделя искусств"" (russian artweek) сезона зима-2016 соберет арт-объекты из более 20 стран мира и практически всех регионов россии. в конкурсной программе примут участие более 1000 авторов из более 200 городов, в категориях ""профессионал"", ""студент"" и ""любитель"". экспозиция включает международные конкурсы по классической живописи, абстрактному и авангардному искусству, портретному мастерству, графике, скульптуре, фотографии, дизайну, международный конкурс авторской куклы, художественного текстиля, декоративно-прикладного искусства. конкурсные работы оценивают члены экспертного совета (жюри), в его состав входят как представители мира искусства и арт-индустрии из россии, так и из стран евросоюза, америки и азии. в этом году в его состав также войдут руководители секций творческого союза художников россии и среди молодых авторов будут определены лица, которые получат возможность вступить в союз. на выставке пройдут эксклюзивные мастер-классы со знаменитыми художниками, творческие вечера, пресс-конференции. проект является широкомасштабным международным художественным форумом, представляющим многообразную палитру художественных произведений. выставка пройдет в цдх с 16 по 24 января.",culture,"""российская неделя искусств"" откроется в субботу в цдх"
5,"оценить эксперимент американского хореографа дженнифер вебер ""щелкунчик в стиле хип-хоп"", сходить на концерты чичериной и группы ""несчастный случай"", а также попробовать успеть на выставку валентина серова в третьяковской галерее, которая закрывается через неделю, можно будет в эти выходные в москве. музеи ближайшие суббота и воскресенье — шанс для тех, кто еще не успел, сходить на выставку работ одного из крупнейших художников своего времени валентина серова в третьяковской галерее. время работы выставки продлили еще на неделю — до 24 января. как сообщили риа новости в пресс-службе музея, выставку уже посетили 360 тысяч человек. в московском музее современного искусства на петровке можно посмотреть на пишущие машинки льва толстого, бориса пастернака и александра солженицына на выставке ""200 ударов в минуту"". этот мультимедийный проект представляет собой культурологическое исследование, задачей которого является попытка определить значение пишущей машинки для русской литературы и искусства в частности и для истории россии xx столетия в целом. в манеже открылась выставка, посвященная 90-летию скульптора эрнста неизвестного. в экспозицию вошли более 100 работ неизвестного из собрания коллекционера феликса комарова. на выставке экспонируются более 20 скульптур 1960-2000-х годов, в том числе монументальные работы, редкие для частных коллекций. театры на сцене музыкального театра станиславского и немировича-данченко американский хореограф дженнифер вебер 15 и 16 января представит спектакль ""щелкунчик в стиле хип-хоп"" (the hip hop nutcracker). в спектакле действие знаменитой сказки гофмана перенесено в наше время. благодаря чарам дроссельмейра мария-клара и ее принц, щелкунчик, путешествуют во времени к тому моменту, когда ее родители познакомились в ночном клубе в нью-йорке 1980-х годов. ""меня всегда интересовало, как классические произведения шекспира переделывают на современный лад. и по аналогии с драматическими опытами возникла идея попробовать осовременить и классический балет. в балете язык — это танец, и мне захотелось создать новый язык — современный аналог классическому танцу"", — рассказала вебер риа новости. участвующие в постановке танцовщики — признанные авторитеты в своем жанре, звезды современного танца. в их биографиях — выступления с известным рэпером снуп догом, певцом фарреллом уильямсом, легендарным исполнителем томом джонсом, группой blue. артисты работают в бродвейских мюзиклах, выступают на церемониях mtv european music awards, brit awards и других. вместе с ними среди главных действующих лиц на сцене — ди-джей и скрипач. концерты меломанам в предстоящие выходные скучать не придется. предваряет уик-энд концерт мелодичной инди-группы pompeya, в клубе ""шестнадцать тонн"" музыканты исполнят уже полюбившиеся хиты и новые песни из вышедшего в 2015 году альбома real. также в этот день в клубе yotaspace выступят ветераны московской рок-лаборатории — группа ""монгол шуудан"" известна целевой аудитории классическими пластинками ""паровоз-анархия"" и ""собачья чушь"", а всем остальным — нечаянным шлягером ""москва"" на стихи сергея есенина. в субботу там же даст концерт одна из представительниц ""новой волны уральского рока"" юлия чичерина. в 2015 году у нее вышел альбом ""сказка о странствии и поиске счастья"". в ""шестнадцати тоннах"" 16 января выступит группа алексея кортнева ""несчастный случай"", а также московский дарк-поп-дуэт elekt­romo­nte­ur. в клубе red группа ""пилот"" отпразднует свой день рождения ""со всей широтой музыкальной души"": зрителей ждут ""золотые хиты, излюбленные раритеты и неожиданные сюрпризы"". а в клубе volta любителей телешоу ""голос"" ждет выступление наргиз закировой. у нее пока один альбом, записанный в 2011 году. кино в кинотеатрах в выходные можно будет увидеть новый фильм квентина тарантино ""омерзительная восьмерка"" о пестрой компании затерянных в снегах путешественников, среди которых охотник за головами, ковбой, генерал конфедератов и мексиканец. тарантино продолжает начавшуюся еще в ""бесславных ублюдках"" историческую тему и на этот раз запечатлевает сша xix века, после окончания гражданской войны. любители спортивных драм могут сходить на ""крид: наследие рокки"" со сильвестром сталлоне и майклом б. джорданом в главных ролях. на этот раз на ринг выйдет адонис джонсон (джордан) — сын соперника, а позже лучшего друга рокки бальбоа аполло крида. не обойдется в кинотеатрах и без русских фильмов. кинокритик роман волобуев представляет свой режиссерский дебют — психологический триллер о разлюбившей друг друга паре в исполнении дарьи чаруши (""мертвые дочери"", ""любовь в большом городе 3"", ""звезда"") и александра молочникова (""братья ч"", ""чемпионы"", ""паук""). маленькие зрители смогут посмотреть очередной фильм о бурундуках элвине, саймоне и теодоре ""элвин и бурундуки: грандиозное бурундуключение"". по словам режиссера фильма уолта бекера, в этот раз ""бурундуки немного подросли, и этот фильм уже посвящен поискам себя и смысла жизни"".",culture,"выходные в москве: выставка серова и ""щелкунчик"" в стиле хип-хоп"
6,"премьера российской комедии павла руминова ""статус: свободен"" с елизаветой боярской и данилой козловским в главных ролях прошла в столичном кинотеатре ""каро фильм октябрь"" в пятницу. картину представили режиссер павел руминов, елизавета боярская, данила козловский, актриса паулина андреева, продюсер сергей ливнев, другие актеры и члены съемочной группы. ""я долго ждал этого дня, я был уверен, что успею подготовить речь, но этого не случилось. но сейчас в моей жизни происходит момент, которым хочется подольше насладиться"", — сказал козловский представляя фильм. руминов в приветственной речи проявил максимум несерьезности согласно моменту. ""я не волнуюсь как даня. я имел роскошь их с лизой видеть со стороны и знал, если будет все в фокусе, то волноваться на премьере не придется — они отличные актеры"", — сказал режиссер. руминов, который так же является и сценаристом фильма, добавил, что идея фильма голову пришла до кризиса. ""мы же знали, что американских фильмов не останется, и все будут смотреть наши"", — пошутил он. режиссер выразил надежду, что козловский хоть ненадолго отвлечет зрителей от животрепещущего вопроса "" получит ди каприо ""оскара"" или нет?"" по сюжету фильма героиня боярской афина и герой козловского никита — идеальная пара… как бред питт и анджелина джоли. внезапно афина сообщает, что уходит от него к 40-летнему стоматологу. никита не верит в серьезность ее намерений и обещает афине, что вернет ее за неделю. что готов сделать отвергнутый мужчина, чтобы вернуть свою любовь? а если не получится? умеем ли мы расставаться? в прокат фильм выходит 21 января 2016 года.",culture,"премьера комедии ""статус: свободен"" прошла москве"
7,"возможное исключение московского кремля из списка всемирного наследия юнеско из-за установки памятника князю владимиру недопустимо, заявил специальный представитель президента рф по международному культурному сотрудничеству михаил швыдкой. памятник князю владимиру планируется установить на боровицкой площади весной 2016 года. территория является буферной зоной объекта всемирного наследия юнеско ""московский кремль и красная площадь"", поэтому российская сторона уведомила юнеско о своих планах по установке памятника. при этом, по словам автора скульптуры салавата щербакова, высота монумента вместе с постаментом составит 15 метров. в начале ноября был открыт закладной камень на месте памятника. ранее глава комиссии по монументальному искусству при мосгордуме лев лавренов заявил риа новости, что юнеско согласовало установку памятника только при условии, что его высота не будет превышать восьми метров. он также убежден, что в ситуации вокруг согласования установки памятника князю владимиру на боровицкой площади ""идеальным поворотом событий"" могло бы быть начало ""серьезной дискуссии"" российских экспертов и представителей юнеско. ""коль скоро у страны, у определенных групп граждан, у руководства министерства культуры позиция, состоящая в том, чтобы этот памятник все-таки поставить, в таких случаях самое оптимальное — это диалог с юнеско"", — считает швыдкой. также он заметил, что ""даже такой сложный вопрос"" может привести к конфликту россии и юнеско.",culture,швыдкой: выведение кремля из списка юнеско из-за памятника недопустимо
8,"программа generation 14plus международного берлинского кинофестиваля, в которой заявлена российская картина михаила местецкого ""тряпичный союз"" формирует вкусы и определяет кино завтрашнего дня, участие в ней очень почетно для молодых кинематографистов, считает сопродюсер картины роман борисевич. 66-й берлинский кинофестиваль (берлинале) пройдет в столице германии с 11 по 21 февраля. председателем жюри в этом году стала голливудская актриса, мэрил стрип — обладатель трех премий ""оскар"". в основной конкурс российские фильмы не вошли, но в конкурсной программе молодежной секции generation 14plus участвует картина местецкого ""тряпичный союз"" (кинокомпания ""коктебель""), завоевавшая призы на российском кинофестивале ""кинотавр-2015"" и международном фестивале ""край света"" на сахалине. ""мы счастливы быть в авангарде — попасть в программу, которая формирует вкусы и определяет кино завтрашнего, для молодых кинематографистов это особенно почетно"", — прокомментировал риа новости сопродюсер фильма роман борисевич.  фильм повествует о тихом подростке, жизнь которого внезапно кардинально меняется: ваня знакомится с тремя друзьями которые уверены, что способны изменить этот мир. главные роли в картине исполнили александр паль (""горько""), иван янковский (внук олег янковского и сын филиппа янковского), василий буткевич, павел чинарёв. на фестивалях ""кинотавр"" и ""край света"" актерский ансамбль получил призы ""за лучшую мужскую роль"".",culture,"продюсер: российский фильм ""тряпичный союз"" попал на берлинале"
9,"на торги аукционного дома christie's ""искусство импрессионизма и модернизма"" и ""искусство сюрреализма"", которые пройдут 2 февраля в лондоне, выставлены полотна общей стоимости от 90 до 130 миллионов фунтов стерлингов, сообщили риа новости в аукционном доме. ""суммарная оценка всех лотов торгов christie""s ""искусство импрессионизма и модернизма"" и ""искусство сюрреализма"", которые пройдут 2 февраля, составляет от 87,3 миллиона фунтов стерлингов до 129,1 миллиона фунтов стерлингов"", — сказал представитель пресс-службы. импрессионизм и модернизм на вечерние торги ""искусство импрессионизма и модернизма"" будут выставлены произведения ведущих художников xix-xx веков, в общей сложности 50 лотов, ""которые позволяют проследить основные вехи мирового искусства в целом и таких направлений, как импрессионизм, ранний модернизм, кубизм и экспрессионизм в частности"", — рассказал собеседник агентства. по его словам, многие работы появляются на рынке впервые за много лет, ""причем с крайне привлекательной оценочной стоимостью"". эстимейты лотов варьируются от 300 тысяч до 10 миллионов фунтов стерлингов. одно из самых романтических полотен марка шагала 1920-х годов под названием ""влюбленные и эйфелева башня"" выставлено на торги с оценочной стоимостью 4,8–6,8 миллионов фунтов стерлингов. крупнейший в серии из четырех пейзажей поля сезанна ""ферма в нормандии летом"", написанных им в загородном доме знаменитого коллекционера виктора шоке, выставлен с эстимейтом 4,5–6,5 миллионов фунтов стерлингов. в числе самых дорогих полотен торгов — автопортрет эгона шиле, написанный художником на пике своей творческой карьеры в 1909 году, выставленное с оценочной стоимостью 6-8 миллионов фунтов стерлингов. сюрреализм в рамках вечернего аукциона ""искусство сюрреализма"" 2 февраля будет выставлено 42 работы 16 художников, что является крупнейшей подборкой за всю историю данных торгов, отметил представитель аукциона. топ-лотом аукциона является шедевр макса эрнста под названием ""украденное зеркало"". его эстимейт составляет 7–10 миллионов фунтов стерлингов. полотно, написанное в 1941 году, на пике творческой карьеры художника представляет собой фантасмагорический пейзаж и выполнен в технике декалькомании. ""несмотря на то, что многие сюрреалисты пытались освоить эту технику, лишь эрнсту удалось успешно приспособить ее для масляной живописи. именно этой картине принадлежит текущий ценовой рекорд на произведения художника — в 2011 году она была продана на торгах christie""s более чем за 10 миллионов фунтов стерлингов"", — отметил представитель аукционного дома. помимо этого на продажу будут выставлены выдающиеся произведения пабло пикассо, вифредо лама, рене магритта, хуана миро и сальвадора дали.",culture,полотна импрессионистов на christie's обещают принести £90-£130 млн
