theme,title,text
politics,депутат: делегация россии может отказаться от январской сессии пасе,"российской делегацией может быть принято решение об отказе от участия в январской сессии парламентской ассамблеи совета европы (пасе), заявил первый зампред комитета госдумы по международным делам леонид калашников. ""обсуждается решение о том, чтобы делегации туда не ехать в силу того, что уже заготовлено определенное решение о продление ограничений для нашей российской делегации. тогда весь смысл поездки туда пропадает, и рассматривается вопрос о том, чтобы никому там не участвовать"", — сказал риа новости калашников. ""обсуждается решение о том, чтобы делегации туда не ехать в силу того, что уже заготовлено определенное решение о продление ограничений для нашей российской делегации. тогда весь смысл поездки туда пропадает, и рассматривается вопрос о том, чтобы никому там не участвовать"", — сказал риа новости калашников. депутат предполагает, что официальное решение будет объявлено в понедельник. в конце января 2015 года пасе из-за ситуации на украине приняла резолюцию, в которой лишила делегацию рф права голоса, права участия в работе уставных органов и в мониторинге выборов. в ответ на это российская делегация до конца 2015 года покинула ассамблею. "
politics,мид: москва и лондон заинтересованы в продолжении регулярного диалога,"москва и лондон заинтересованы в продолжении регулярного диалога по двусторонней и международной тематике. к такому общему мнению пришли по итогам встречи в пятницу первый замглавы мид россии владимир титов и новый посол великобритании в рф лори бристоу, сообщили во внешнеполитическом ведомстве. ""стороны подчеркнули заинтересованность, несмотря на существующие расхождения по ряду вопросов, в поддержании регулярного диалога по двусторонней и международной тематике"", — говорится в сообщении министерства. ""выражена надежда на успешное проведение в 2016 году перекрестного года языков и литератур россии и великобритании"", — отметили в мид рф."
politics,замглавы мид россии и посол великобритании обсудили сирию и украину,"ситуация в сирии и перспективы урегулирования кризиса на юго-востоке украины обсуждались на встрече первого замглавы мид рф владимира титова и нового посла великобритании в рф лори бристоу, сообщили во внешнеполитическом ведомстве. ""состоялся также обмен мнениями по актуальным международным и региональным проблемам, в том числе противодействию террористической угрозе, ситуации в сирии, урегулированию украинского кризиса с акцентом на необходимость реализации в полном объеме ""комплекса мер"" по выполнению минских соглашений, проблематике иранской ядерной программы"", — говорится в сообщении мид."
politics,центральный аппарат мвд россии в 2015 году сократили на 11%,"штатная численность центрального аппарата мвд россии в ходе сокращения, проведенного в 2015 году, уменьшилась на 11%, сообщает ведомство в пятницу. проект президентского указа, который приведет аппарат мвд в соответствие с реальной численностью, размещен на едином интернет-портале подготовки нормативно-правовых актов. ""в ходе проведения мероприятий по сокращению предельной штатной численности овд численность сотрудников центрального аппарата уменьшена на 11%"", — говорится в сопроводительной записке мвд к проекту. на сегодняшний день центральный аппарат ведомства насчитывает почти 6,4 тысячи штатных единиц, новый указ снизит эту цифру почти на 600 должностей – до ‏5867 единиц. в 2015 году мвд россии провело сокращение общего штата сотрудников на 10%, всего было сокращено 110 тысяч единиц штатной численности, в основном за счет вакантных должностей и подразделений вневедомственной охраны. тридцать первого декабря президент владимир путин сократил штаты целого ряда российских министерств и ведомств — мчс, минобороны, фскн и других. эти и другие меры российских властей обусловлены сложной ситуацией в экономике."
politics,меняйло: создание украиной контактной группы по крыму бессмысленно,"губернатор севастополя сергей меняйло считает бессмысленным создание украиной международной контактной группы в целях возвращения крыма. ранее украинский президент петр порошенко заявил о планах создания в целях ""возврата крыма"" международного механизма в формате ""женева плюс"", в который войдут партнеры из евросоюза, сша и, возможно, страны-подписанты будапештского меморандума о гарантиях безопасности в связи с присоединением украины к договору о нераспространении ядерного оружия (его подписали украина, сша, россия и великобритания).  крым и севастополь вошли в состав россии по итогам мартовского референдума в 2014 году. воссоединение с россией поддержали 96,77% крымчан и 95,6% севастопольцев. власти украины и западных стран отказались признавать это волеизъявление народа и ввели против региона санкции. полный текст интервью с губернатором севастополя читайте на сайте ria.ru в 16:00 мск. подробнее о новостях крыма — на crimea.ria.ru>>>"
politics,"меняйло рассказал, кого хочет видеть депутатом госдумы от севастополя","губернатор севастополя сергей меняйло считает, что интересы города в государственной думе рф нового созывы должен представлять российский космонавт-испытатель антон шкаплеров. выборы в госдуму пройдут по смешанной системе 18 сентября 2016 года. в них севастополь и республика крым будут участвовать впервые. ""я хотел бы, чтобы наш город в госдуме представлял севастополец, космонавт и герой россии антон шкаплеров"", — сказал меняйло в интервью риа новости. крым и севастополь вошли в состав россии по итогам мартовского референдума в 2014 году. воссоединение с россией поддержали 96,77% крымчан и 95,6% севастопольцев. власти украины и западных стран отказались признавать это волеизъявление народа и ввели против региона санкции. полный текст интервью с губернатором севастополя читайте на сайте ria.ru в 16:00 мск. подробнее о новостях крыма — на crimea.ria.ru >>"
politics,клинцевич: тема принадлежности крыма россии закрыта раз и навсегда,"тема принадлежности крыма россии закрыта раз и навсегда, обсуждать её нет смысла, считает первый зампред комитета совета федерации по обороне и безопасности франц клинцевич. так он прокомментировал предложение президента украины петра порошенко о создании в целях ""возврата крыма"" международного механизма ""женева плюс"". ранее порошенко заявил о планах создания в целях ""возврата крыма"" международного механизма в формате ""женева плюс"", в который войдут партнеры из евросоюза, сша и, возможно, страны-подписанты будапештского меморандума о гарантиях безопасности в связи с присоединением украины к договору о нераспространении ядерного оружия (его подписали украина, сша, россия и великобритания).  по его мнению, россии на официальном уровне ""нет никакого смысла"" втягиваться в дискуссии относительно судьбы крыма. ""обсуждать здесь совершенно нечего"", — убеждён он. крым и севастополь вошли в состав россии по итогам мартовского референдума в 2014 году. воссоединение с россией поддержало 96,77% крымчан и 95,6% севастопольцев. власти украины и западных стран отказались признавать это волеизъявление народа и ввели против региона санкции. подробнее о новостях крыма — на crimea.ria.ru>>>"
politics,путин объявил об открытии перекрестных годов россии и греции,"президент россии владимир путин на встрече с греческим коллегой прокописом павлопулосом объявил об открытии года россии в греции и года греции в россии, в рамках которых запланировано почти 40 мероприятий. павлопулос впервые посещает россию. в должность главы государства он вступил в марте 2015 года. это его первая встреча с путиным.  он добавил, что в рамках этого события предусмотрено проведение почти 40 мероприятий, в том числе греческие выставки в эрмитаже, историческом музее в москве, участие российских компаний в выставке в солониках и проведение ""круглого стола"" в рамках 20-го международного экономического форума в петербурге. ""мы очень рады принимать в москве главу греческого государства дружественной нам страны, с которой нас связывает уникальная историческая связь"", — добавил путин."
politics,памфилова считает неуместным извиняться перед кадыровым за критику,"уполномоченный по правам человека в рф элла памфилова считает неуместным предложение депутата гд шамсаила саралиева, посоветовавшего омбудсмену извиниться перед главой чечни за критику в его адрес: по ее словам, обязанность уполномоченного как раз и состоит в том, чтобы требовать от властей всех уровней исполнения конституции. ранее на встрече с журналистами в грозном глава чечни рамзан кадыров заявил, что внесистемная оппозиция в россии не заинтересована в процветающей и сильной стране и пытается нажиться на сложной экономической ситуации. по мнению главы чечни, к таким людям надо относиться как ""к предателям"" и судить ""за их подрывную деятельность"". ""предложение данного депутата, которое вызвало у меня глубочайшее недоумение, считаю неуместным. если я, как уполномоченный по правам человека, буду извиняться перед каждым высокопоставленным чиновником за свою критику в их адрес, когда они нарушают конституцию или пренебрегают законом, то тогда мне надо просто уходить со своей должности, поскольку моя прямая обязанность и есть требовать от властей всех уровней исполнения конституции"", — заявила памфилова риа новости. уполномоченный подчеркнула, что эта обязанность совсем не зависит от того, нравится или не нравится лично ей та или иная политическая позиция, общественная организация или человек, которых она защищает. ""мои вкусовые пристрастия не имеют в данном случае никакого значения. значение имеет только одно — недопущение произвола, нарушения закона и конституции в отношении тех, кого я защищаю"", — пояснила она. ""в данном случае мне извиняться не за что"", — заключила памфилова."
politics,вопрос о бизнесе семьи министра ткачева решит комиссия,"министр сельского хозяйства александр ткачев сообщил, что отправил в правительство рф просьбу рассмотреть на специальной комиссии вопрос о возможном конфликте его интересов как руководителя ведомства и интересов аграрного бизнеса, которым владеет его семья. ранее сми сообщили, что депутат госдумы александр хинштейн просит ткачева рассказать о бизнесе его родственников, в частности о том, не возникает ли конфликт интересов у министра с учетом того, что его родственники занимаются агробизнесом."
