theme,title,text
religion,мосгордума рассмотрит вопрос о высоте памятника князю владимиру,"комиссия по монументальному искусству при мосгордуме будет обсуждать композицию памятника князю владимиру на боровицкой площади в москве, в том числе высоту монумента, однако вопрос о месте установки уже решен, несмотря на рекомендации юнеско, сообщил риа новости в пятницу глава комиссии лев лавренов. памятник князю владимиру планируется установить на боровицкой площади весной 2016 года. это место было выбрано жителями столицы в результате интернет-опроса, которое проводило российское военно-историческое общество, а также согласно результатам голосования на портале ""активный гражданин"". территория является буферной зоной объекта всемирного наследия юнеско ""московский кремль и красная площадь"", поэтому российская сторона уведомила юнеско о своих планах по установке памятника. при этом, по словам автора скульптуры салавата щербакова, высота монумента вместе с постаментом составит 15 метров. в начале ноября был открыт закладной камень на месте памятника. ранее лавренов заявил риа новости, что юнеско согласовало установку памятника только при условии, что его высота не будет превышать восьми метров.  депутаты мосгордумы согласны с советом юнеско в том, что к выбранному для установки памятнику месту — боровицкой площади — нужно относиться с осторожностью, добавил он. по словам лавренова, комиссия на заседании рассмотрит всю композицию памятника, которую предложит авторский коллектив. однако касательно места установки памятника власти москвы более категоричны. ""там заложен камень. памятник там должен быть, так считает дума. был опрос в москве, москвичи склонились к этому месту"", — отметил лавренов. он уточнил, что сначала комиссия рассмотрит проект и внесет свои предложения, а затем окончательное решение будет принимать сама мосгордума. ""а само место рассматривалось на одном из заседаний думы в ноябре, и это место было согласовано. так что здесь никаких противоречий нет"", — подытожил глава комиссии."
religion,легойда назначен в совет при президенте россии вместо чаплина,"бывший председатель синодального отдела по взаимоотношениям церкви и общества протоиерей всеволод чаплин был исключен из состава президентского совета по взаимодействию с религиозными объединениями; вместо него членом совета стал глава синодального отдела по взаимоотношениям церкви с обществом и сми владимир легойда, сообщает официальной портал правовой информации. священный синод русской православной церкви (рпц) в конце декабря прошлого года принял решение об объединении двух синодальных отделов московского патриархата — по взаимоотношениям церкви и общества (овцо) и информационного отдела (синфо), главой нового отдела назначен легойда. чаплин, возглавлявший овцо, покинул свой пост, при этом синод выразил ему благодарность за многолетнюю работу в синодальном учреждении. также вместо него представителем рпц в межрелигиозном совете рф был назначен глава отдела внешних церковных связей митрополит волоколамский иларион. затем протоиерей был снят с поста заместителя главы всемирного русского собора. чаплин со своей стороны критически отозвался в сми о нынешней системе церковного управления, в частности, подверг критике патриарха. ""внести в состав совета по взаимодействию с религиозными объединениями при президенте российской федерации… изменения, включив в него легойду в.р. — председателя синодального отдела по взаимоотношениям церкви с обществом и сми русской православной церкви и исключив из него чаплина в.а."", — говорится в распоряжении главы государства. совет по взаимодействию с религиозными объединениями при президенте рф был создан 24 апреля 1995 года. основными его функциями, согласно информации на официальном сайте главы государства, ""являются обеспечение взаимодействия президента с религиозными объединениями и содействие укреплению общественного согласия, взаимопонимания, терпимости и взаимного уважения в вопросах свободы совести и свободы вероисповедания""."
religion,решение о запрете сайентологической церкви москвы обжаловано в суде,"представители сайентологической церкви москвы обжаловали решение мосгорсуда, запретившего ее деятельность в россии, сообщила риа новости руководитель пресс-службы суда ульяна солопова. ""в суд поступила апелляционная жалоба, так что решение пока не вступило в законную силу"", — сказала она. жалобу предстоит рассмотреть верховному суду рф. ранее судья михаил казаков удовлетворил иск министерства юстиции о запрете деятельности сайентологической церкви москвы и дал организации шесть месяцев на ликвидацию. в иске министерство ссылалось на тот факт, что слово ""сайентология"" зарегистрировано как товарный знак, правообладателем которого является центр религиозной технологии в сша. это противоречит требованиям законодательства рф о свободе совести и вероисповедания, так как религию распространяет коммерческое партнерство, а не религиозная организация. дианетика и саентология (сайентология) ─ религиозно-философское течение, основанное в сша начале 1950-х годов писателем-фантастом лафайетом роном хаббардом. научная общественность не признала его наукой. в россии постановлением госдумы от 15 декабря 1996 года ""церковь сайентологии"" классифицирована как деструктивная религиозная организация (тоталитарная секта, деструктивный культ). по решению московского областного суда некоторые книги хаббарда в 2012 году были включены в федеральный список экстремистских материалов и запрещены к распространению на территории рф."
religion,"на рождество служба  ""милосердие"" подарила нуждающимся тысячи подарков","более 30 тысяч подарков для стариков, детей-инвалидов, многодетных семей, тяжелобольных и бездомных удалось собрать за время проведения акции ""дари радость на рождество"", сообщила в пятницу православная служба помощи ""милосердие"". ""все святки наши добровольцы, сотрудники, сестры милосердия развозят подарки подопечным, и все эти дни мы слышим слова благодарности за то внимание, которого обычно так не хватает людям в беде"", приводит пресс-служба слова руководителя благотворительных программ ""милосердия"" владлены калашниковой. по словам организаторов, особенной популярностью пользовались подарки для детей, бездомных и пожилых подопечных службы ""милосердие"". они также отметили, что в акции приняли активное участие не только частные лица, но и крупные компании, которые в течение декабря собирали подарки в своих офисах. кроме подарков на рождество, неравнодушными людьми было собрано более 90 тысяч рублей. в службе помощи уточнили, что эти средства ""будут направлены на покупку подарков для детей из многодетных семей"", которым помогает ""милосердие"". акция «дари радость на рождество» проводится православной службой с 2011 года, в ней традиционно принимают участие десятки тысяч людей. в этом году подарки для нуждающихся собирали жители 15 городов, в том числе перми, твери, новосибирска, екатеринбурга, томска, бобруйска, ярославля, ижевска, владивостока, витебска и цхинвала. информационную поддержку мероприятия осуществлял первый канал."
religion,константинополь признал митрополита чешских земель ростислава,"константинопольский патриархат присоединился к православным церквам, признавшим каноничность (законность) избрания митрополита чешских земель и словакии ростислава; такое решение было принято по итогам прошедшей на этой неделе встречи в стамбуле, сообщил в пятницу риа новости источник в русской православной церкви. ""в стамбуле прошли переговоры представителей константинопольского патриархата и православной церкви чешских земель и словакии, по итогам которых их участниками был подписан протокол о признании законности избрания митрополита чешских земель и словакии ростислава, утвержденный 14 января на заседании константинопольского синода"", — сказал источник. он уточнил, что данным актом константинопольский патриархат присоединился к числу поместных православных церквей, ранее признавших митрополита ростислава законно избранным предстоятелем. ""чешская"" коллизия архиепископ прешовский ростислав был избран на митрополичий престол поместным собором православной церкви чешских земель и словакии 11 января 2014 года. собор имел необходимый кворум участников, за избранного архиерея были поданы 43 голоса из 49 выборщиков. в тот же день патриарх московский и всея руси кирилл направил архиепископу ростиславу поздравление по случаю его избрания главой братской поместной церкви. в свою очередь председатель отдела внешних церковных связей рпц митрополит волоколамский иларион принял участие в состоявшихся 9 февраля 2014 года в прешове торжествах по случаю интронизации митрополита чешских земель и словакии ростислава, вместе с представителями антиохийского патриархата, польской православной церкви и православной церкви в америке. позднее законность избрания митрополита ростислава была признана румынской и болгарской православными церквами. ""известно, что патриарх кирилл в переписке с константинопольским патриархом варфоломеем по поводу подготовки ожидаемого в 2016 году всеправославного собора неоднократно настаивал на необходимости участия митрополита ростислава в соборе и в его подготовке, как и других архиереев православной церкви чешских земель и словакии"", — сказал источник. при этом, добавил он, константинополь ""целых два года не признавал состоявшегося избрания и поддерживал сторонников бывшего местоблюстителя предстоятельского престола архиепископа симеона, который не захотел уступить свое место избранному главой церкви более молодому архиерею"". ""однако настойчивость русской православной церкви и некоторых других привела константинопольскую церковь к необходимости срочного принятия иного решения, чтобы не сорвать проведение встречи предстоятелей православных церквей в швейцарии"", — добавил собеседник агентства. по предварительным данным, встреча может пройти в женеве 21-28 января. по оценке источника агентства, ряд церквей также фактически признавали состоявшееся избрание архиепископа ростислава, однако ""позиция, занятая патриархом константинопольским, заставляла их осторожничать с выражением официального мнения"". всеправославный собор проведение всеправославного собора, подготовка к которому была начата более 50 лет назад, ранее было предварительно намечено на 2016 год в стамбуле — такое решение было принято на встрече глав и представителей всех поместных православных церквей. собор, как уточнили тогда иерархи, состоится в случае, ""если не воспрепятствуют тому непредвиденные обстоятельства"". в конце декабря прошлого года глава овцс московского патриархата митрополит волоколамский иларион заявил, что проведение всеправославного собора в нынешней ситуации ""вызывает сомнение"" и о конкретных сроках, когда он пройдет, пока говорить преждевременно. как пояснил митрополит иларион, такой вывод можно сделать, учитывая, что ""некоторые православные церкви находятся в состоянии неурегулированного конфликта, а предстоятель православной церкви чешских земель и словакии так и не признан в своем статусе со стороны ряда православных церквей, не говоря уже о крайне нестабильной общеполитической обстановке в мире""."
religion,член оп: мечети в москве и чувашии проведут  дни открытых дверей,"дни открытых дверей, во время которых в мечетях можно будет послушать лекции об исламе и полюбоваться на внутреннее убранство, в ближайшие два месяца пройдут в москве и чувашии, сообщил риа новости заместитель председателя комиссии общественной палаты по гармонизации межнациональных и межрелигиозных отношений и автор инициативы альбир крганов. ""подобный проект может стать важным шагом на пути консолидации общества. человек любой веры сможет прийти в мечеть, полюбоваться внутренним убранством, послушать лекции об исламе, поговорить с имамами. такие мероприятия дадут людям возможность ближе познакомиться с нашей культурой и гостеприимством"", — рассказал он. подобная инициатива, по словам муфтия, также поможет в борьбе со стереотипами о ""враждебности"" мировых религий. ""это поможет противостоять экстремистам и различным провокаторам, которые пытаются навязать нам дискурс о существовании каких-то ""радикальных форм"" веры и ""фундаментализма"", допускающих насилие, агрессию или иные формы нетерпимости"", — заключил крганов."
religion,рпц: церковные структуры хранили деньги в эргобанке не централизованно,"в эргобанке хранились деньги 61 организации русской православной церкви (рпц), в том числе троице-сергиевой лавры и данилова монастыря, но данное решение каждая структура принимала самостоятельно, и в церкви не могут назвать возможный ущерб от отзыва лицензии у банка, сообщил риа новости источник в рпц. банк россии с 15 января отозвал лицензию на осуществление банковских операций у московского эргобанка. в цб уточнили, что в связи с потерей ликвидности эргобанк своевременно не исполнял обязательства перед кредиторами и вкладчиками, при этом руководители и собственники кредитной организации не предприняли действенных мер по нормализации ее деятельности. ""в эргобанке хранились деньги некоторых религиозных организаций как отдельных юридических лиц, обладающих правом выбирать любой банк для своих нужд. поэтому сказать, насколько пострадали эти организации в целом, сейчас нельзя. можно обращаться за информацией в каждую из них по-отдельности"", — сказал агентству источник. по данным риа новости, официальные централизованные структуры рпц по-прежнему не располагают информацией о возможности покупки акций эргобанка. согласно представленной на сайте эргобанка информации, в банке хранились деньги 61 организации рпц, в том числе екатеринбургской, владимирской, якутской, нижегородской епархий. вкладчиками банка также являлись крупнейшие монастыри."
religion,юнеско не одобряет памятник князю владимиру на боровицкой площади,"международный совет юнеско в ответ на обращение депутата мосгордумы елены шуваловой сообщил, что не рекомендует ставить памятник князю владимиру на боровицкой площади в москве, сообщила в пятницу пресс-служба фракции кпрф в мосгордуме. памятник князю владимиру планируется установить на боровицкой площади весной 2016 года. территория является буферной зоной объекта всемирного наследия юнеско ""московский кремль и красная площадь"", поэтому российская сторона уведомила юнеско о своих планах по установке памятника. при этом, по словам автора скульптуры салавата щербакова, высота монумента вместе с постаментом составит 15 метров. в начале ноября был открыт закладной камень на месте памятника. ранее глава комиссии по монументальному искусству при мосгордуме лев лавренов заявил риа новости, что юнеско согласовало установку памятника только при условии, что его высота не будет превышать восьми метров. ""в адрес депутата фракции кпрф в мосгордуме елены шуваловой в ответ на её обращение к генеральному директору юнеско ирине боковой поступило письмо ответственного секретаря комиссии рф по делам юнеско григория орджоникидзе. в ответе говорится о том, что решение о возведении памятника князя владимиру на боровицкой площади в рамках мероприятий, посвящённых 1000-летия преставления святого равноапостольного великого князя владимира, было принято московской городской думой без каких-либо консультаций с мид россии и без учёта требования конвенции юнеско 1972 года ""об охране всемирного культурного и природного наследия"", — говорится в сообщении думы. международный совет по сохранению памятников и достопримечательных мест (консультативный орган юнеско) заявил, что ""установка памятника может иметь негативные последствия для выдающегося всемирного значения объекта"" и ""для устранения возможности такого воздействия рекомендуется подобрать для монумента другое место"", добавили в пресс-службе. совет порекомендовал провести разъяснительные работы, в том числе среди депутатов, по вопросам выполнения обязательств, вытекающих из участия россии в международных договорах. ранее исполнительный директор российского военно-исторического общества (рвио) владислав кононов сообщил риа новости, что заключение юнеско по памятнику князю владимиру на боровицкой площади в москве носит рекомендательный характер и не повлияет на решение об установке монумента. по его словам, в соответствии с рекомендациями юнеско памятник могут передвинуть или понизить его высоту, и власти города будут прислушиваться к этим рекомендациям."
religion,религиозные праздники 16 января,"из него же, по-видимому, черпали свои сведения о пророке епифаний кипрский и святитель димитрий ростовский. по этим сказаниям, малахия жил за 400 лет до рождества христова, во времена, когда иудеи вернулись из вавилонского плена, иерусалимский храм был заново отстроен и в нем совершалось богослужение. он происходил из колена завулонова, которое занимало лучшую часть северной палестины — от средиземного моря до генисаретского озера. малахия был последним из ветхозаветных пророков, поэтому его называют ""печатью пророков"". призванный к пророческому служению, он обличал народ и священников за то, что они не имеют должного благоговения к богу, приносят ему худые жертвы (мал.1), обличал священников за то, что они своими неправдами, несоблюдением заповедей и лицемерием в делах закона бесславят бога, производя соблазн в народе (мал.2:1-9). пророк угрожал им судом божиим и за разные другие их пороки: за их чародейства и прелюбодеяния, ложные клятвы, удерживание платы наемников, притеснение вдов и сирот, отвержение пришельцев (мал.3:5-12). наконец, он обличал евреев за их богохульство, за дерзкие и хульные слова, что напрасно будто бы служить богу, бесполезно соблюдать его постановления и ходить пред лицом его в печальной одежде, что нечестивые и делающие беззакония счастливее живут, лучше устраивают свои дела и остаются целы (мал.3:13-15, 2:17). и вместе с тем малахия провидел славу второго храма и предсказал пришествие мессии, явление предтечи пред его пришествием, грядущий суд божий на нечестивых, прославление праведных и распространение славы божьей пред всеми народами (мал.1:5, 11, 2:1-5, 3:16-18, мал.4). скончался пророк молодым и был погребен со свои¬ми пред¬ка¬ми в родовом селении суфа. однако среди исследователей издавна шла дискуссия: кто был автором книги, известной как ""книга малахия""? некоторые полагали, что это имя — не собственное, а нарицательное. основание к этому давало самое значение слова малахия — ""вестник"" или ""посланник бога"". таких вестников было много. кто же из них автор книги пророчеств? еврейские богословы всегда настаивали на том, что малахия было собственным именем последнего пророка-писателя. это подтверждает и талмуд, причем пророк малахия там фигурирует как член великого собрания. толкования православной церкви-— и древние, и новые — также утверждают, что книга малахии действительно написана пророком, носившим это имя, и православная церковь празднует его память 3 января (16 января по новому стилю). того же мнения придерживаются и большинство современных иностранных исследователей-библеистов."
religion,власти косово заварили вход в оскверненный храм в приштине,"градоначальник приштины и однопартиец протестовавших в субботу членов радикального албанского движения ""самоопределение"" шпенд ахмети утверждает, что спц не располагает документами на недостроенный храм. он заявил ртк, что представители церкви должны подать заявку в министерство территориального планирования косово на легализацию объекта, который до тех пор будет считаться незаконно возведенным. ""документы у нас есть. исполнительный совет муниципалитета приштина принял постановление, которое подписано 26.09.1990 года. согласно документу, принимается урбанистический план университетского центра в приштине и разрешается строительство храма христа спасителя"", — подчеркнул настоятель монастыря високи дечани архимандрит савва."
