theme,title,text
society,минкультуры нашло нарушения в российской национальной библиотеке,"департамент науки и образования министерства культуры рф направил ходатайство о вынесении выговора генеральному директору российской национальной библиотеки (рнб) антону лихоманову, в связи с тем, что комплексная проверка деятельности библиотеки, которая прошла в декабре 2015 года, выявила нарушения, которые не были устранены с аналогичной проверки 2013 года, сообщила в пятницу пресс-служба минкультуры. минкультуры провело комплексную проверку деятельности петербургской библиотеки в декабре 2015 года. ""руководству министерства направлено ходатайство о вынесении выговора генеральному директору российской национальной библиотеки антону лихоманову"", — цитирует пресс-служба директора департамента науки и образования минкультуры александра аракелова. он уточнил, что ""проверка показала, что многие нарушения, выявленные в ходе аналогичной проверки, проведенной осенью 2013 года, не были устранены, со стороны генерального директора библиотеки допускалось не только затягивание сроков строительства и неэффективное использование средств"". аракелов обратил внимание, что неправомерное расходование средств федерального бюджета на оплату строительно-монтажных работ и приобретение оборудования касается строительства второй очереди библиотеки. по его словам, проверка установила, что ""документы о приемке оборудования и программного обеспечения стоимостью свыше 800 миллионов рублей в библиотеке отсутствуют"". рнб — одна из крупнейших библиотек мира, ведет свою историю с 1795 года. лихоманов работает в ""публичке"" с 1981 года, в 2011 году возглавил библиотеку."
society,на изготовление школьной формы выделят около 600 млн рублей,"около 600 миллионов рублей выделяется на поддержку отечественной легкой промышленности, речь идет о предприятиях, изготавливающих школьную форму, сообщил глава минпромторга денис мантуров. ""поддержана мера стимулирования предприятий швейных, которые будут шить школьную форму из российских комольных тканей. этот объем, примерно — 600 миллионов рублей, но эта цифра будет корректироваться"", — сказал он журналистам. мантуров рассказал также об изменении требований, которые позволят относить предприятия легпрома к малому и среднему бизнесу. ""это существенная мера поддержки, она даст возможность предприятиям получать кредиты госкорпораций мсп, обеспечит и поддержку в части кредитов на оборотные средства и по тем инвестиционным проектам, которые запланированы нашими предприятиями"", — отметил министр. он также отметил, что это позволит получать кредиты у коммерческих банков. ""помимо упомянутых конкретных отраслей, речь шла еще о межотраслевой субсидии"", — сказал он."
society,власти подмосковья пообещали ужесточить правила продажи пиротехники,"рейды, проведенные с целью мониторинга розничной торговли пиротехническими изделиями, показали, что в 80% случаев продавцы не соблюдают установленные правила торговли, что может привести к ужесточению правил продажи пиротехники, сообщили в министерстве потребительского рынка и услуг московской области.  по словам посаженникова, накануне массового старта продаж пиротехники была проведена разъяснительная работа с муниципалитетами, в рамках которой были озвучены законодательные требования к реализации подобных товаров, а именно возрастное ограничение продажи пиротехники лицам до 16 лет. министр отметил, что по итогам рейдов, данные мониторинга будут представлены на заседании общественного совета, которое состоится в конце января. ""речь идет об ужесточении правил продажи пиротехники"", — резюмировал он."
society,"гд может рассмотреть проект о том, чтобы сделать 31 декабря выходным","госдума на заседании во вторник, 19 января, может рассмотреть законопроект депутатов лдпр о том, чтобы сделать 31 декабря официальным выходным днем, профильный комитет по труду, социальной политике и делам ветеранов рекомендовал эту инициативу отклонить. законопроект включен в проект порядка работы госдумы на 19 января. авторы отмечают, что эффективность трудовой деятельности 31 декабря крайне низка. по их словам, россияне думают о подготовке к празднику, но вынуждены находиться на работе, а серьезные дела все равно переносят на более позднее время. комитет по труду отмечает, что при этом авторы законопроекта не приводят каких-либо экономических обоснований предлагаемого переноса нерабочих праздничных дней. кроме того, в комитете считают, что законопроект разработан без учета норм других отраслей законодательства. в частности, в соответствии с бюджетным кодексом рф, финансовый год соответствует календарному году и длится с 1 января по 31 декабря включительно. в случае принятия законопроекта повысятся трудозатраты в различных сферах в связи с необходимостью завершения текущего финансового года. —0-"
society,"мантуров: ""ростех"" не стал единственным поставщиком лекарств от вич","""национальная иммунобиологическая компания"" — фармацевтический холдинг ""ростеха"", который занимается разработкой и производством иммунобиологических лекарственных средств. компания создана для обеспечения суверенитета россии в сфере биологической безопасности."
society,в сф выступили против наказания за публичное выражение гомосексуализма,"профильный комитет совета федерации по конституционному законодательству не поддержал законопроект, вводящий ответственность за публичное выражение гомосексуализма, сообщил риа новости председатель комитета андрей клишас. в октябре 2015 года депутаты от фракции кпрф иван никитчук и николай арефьев внесли в госдуму законопроект, устанавливающий административную ответственность за публичное выражение гомосексуализма. ""комитет совета федерации по конституционному законодательству рассмотрел законопроект и не поддерживает его концепцию"", — сказал сенатор. клишас отметил, что в законопроекте используется понятие ""публичная демонстрация своих искаженных сексуальных предпочтений"", однако такая формулировка, по его словам, не имеет четкого определения в законодательстве. ""это может привести к противоречивой правоприменительной практике"", — заявил сенатор. глава комитета также напомнил, что в 2013 году коап был уже дополнен статьёй, устанавливающей административную ответственность за пропаганду нетрадиционных сексуальных отношений среди несовершеннолетних. ""таким образом, внесение в кодекс новых статей, предлагаемых авторами законопроекта, представляется излишним"", — отметил клишас."
society,кадыров опубликовал видеозапись с извинениями красноярского депутата,"глава чечни рамзан кадыров разместил на своей странице в instagram видео с извинениями со стороны депутата красноярского горсовета константина сенченко, отметив, что они приняты. ""рамзан ахматович, я приношу свои извинения, я был не прав, я действовал сгоряча, эмоционально. и я приношу свои глубокие извинения. я пообщался с представителями чеченского народа"", — сказал на видео человек, похожий на сенченко.  ""я принимаю"", — написал кадыров в комментарии к видео. на встрече с журналистами в грозном 13 января рамзан кадыров заявил, что внесистемная оппозиция в россии пытается нажиться на сложной экономической ситуации и к таким людям надо относиться как ""к предателям"". в ответ на это красноярский депутат константин сенченко у себя в facebook назвал главу чечни ""позором россии"". позже в эфире чгтрк ""грозный"" показали запись телефонного разговора с сенченко, в ходе которого депутат приносит извинения кадырову. сам сенченко заявил, что не давал интервью телеканалу."
society,легойда назначен в совет при президенте россии вместо чаплина,"бывший председатель синодального отдела по взаимоотношениям церкви и общества протоиерей всеволод чаплин был исключен из состава президентского совета по взаимодействию с религиозными объединениями; вместо него членом совета стал глава синодального отдела по взаимоотношениям церкви с обществом и сми владимир легойда, сообщает официальной портал правовой информации. священный синод русской православной церкви (рпц) в конце декабря прошлого года принял решение об объединении двух синодальных отделов московского патриархата — по взаимоотношениям церкви и общества (овцо) и информационного отдела (синфо), главой нового отдела назначен легойда. чаплин, возглавлявший овцо, покинул свой пост, при этом синод выразил ему благодарность за многолетнюю работу в синодальном учреждении. также вместо него представителем рпц в межрелигиозном совете рф был назначен глава отдела внешних церковных связей митрополит волоколамский иларион. затем протоиерей был снят с поста заместителя главы всемирного русского собора. чаплин со своей стороны критически отозвался в сми о нынешней системе церковного управления, в частности, подверг критике патриарха. ""внести в состав совета по взаимодействию с религиозными объединениями при президенте российской федерации… изменения, включив в него легойду в.р. — председателя синодального отдела по взаимоотношениям церкви с обществом и сми русской православной церкви и исключив из него чаплина в.а."", — говорится в распоряжении главы государства. совет по взаимодействию с религиозными объединениями при президенте рф был создан 24 апреля 1995 года. основными его функциями, согласно информации на официальном сайте главы государства, ""являются обеспечение взаимодействия президента с религиозными объединениями и содействие укреплению общественного согласия, взаимопонимания, терпимости и взаимного уважения в вопросах свободы совести и свободы вероисповедания""."
society,"роспотребнадзор подготовил памятку, как защититься от свиного гриппа","роспотребнадзор подготовил памятку для населения россии о том, как защититься от свиного гриппа, случаи которого уже зафиксированы в рф, а также в соседней украине. ведомство отмечает, что вирус гриппа a(h1n1) (свиной) легко передается от человека к человеку и вызывает респираторные заболевания разной тяжести. симптомы заболевания аналогичны симптомам обычного (сезонного) гриппа. тяжесть заболевания зависит от целого ряда факторов, в том числе от общего состояния организма и возраста. предрасположены к заболеванию пожилые люди, маленькие дети, беременные женщины и люди, страдающие хроническими заболеваниями (астмой, диабетом, сердечно-сосудистыми заболеваниями) и с ослабленным иммунитетом. ""гигиена рук — это важная мера профилактики распространения гриппа. мытье с мылом удаляет и уничтожает микробы. если нет возможности помыть руки с мылом пользуйтесь спиртосодержащими или дезинфицирующими салфетками"", — говорится в сообщении, распространенном пресс-службой ведомства. также роспотребнадзор рекомендует чистку и регулярную дезинфекцию поверхностей (столов, дверных ручек, стульев и др.). рекомендуется избегать близкого контакта с больными людьми (соблюдать расстояние не менее одного метра), избегать поездок и многолюдных мест. ведомство напомнило о необходимости прикрывать рот и нос платком при кашле или чихании, а также не трогать руками глаза, нос или рот, поскольку вирус распространяется этими путями. роспотребнадзор также советует не сплевывать в общественных местах, надевать маску или использовать другие подручные средства защиты, чтобы уменьшить риск заболевания. в ведомстве добавили, что здоровый образ жизни повышает сопротивляемость организма инфекции. ""соблюдайте здоровый режим, включая полноценный сон, потребление пищевых продуктов богатых белками, витаминами и минеральными веществами, физическую активность"", — отмечается в памятке. осложнения характерная особенность гриппа а(н1n1) — раннее появление осложнений. если при сезонном гриппе осложнения возникают, как правило, на 5–7-й день и позже, то при гриппе а(н1n1) осложнения могут развиваться уже на 2–3-й день болезни, рассказали в ведомстве. по данным роспотребнадзора, среди осложнений лидирует первичная вирусная пневмония. ухудшение состояния при вирусной пневмонии идет быстрыми темпами, и у многих пациентов уже в течение 24 часов развивается дыхательная недостаточность, требующая немедленной респираторной поддержки с механической вентиляцией легких. ""быстро начатое лечение способствует облегчению степени тяжести болезни"", — подчеркнули эксперты. при первых симптомах заболевания в роспотребнадзоре рекомендуют оставаться дома и срочно обращаться к врачу."
society,власти нижнего новгорода намерены сохранить в городе электротранспорт,"администрация нижнего новгорода не рассматривает вариант с закрытием движения трамваев и троллейбусов в городе и рассчитывает на следующей неделе договориться о погашении своей задолженности перед поставщиком электроэнергии, сообщил в пятницу глава администрации города сергей белов. движение трамваев и троллейбусов из-за долгов горадминистрации энергетикам было частично остановлено в городе 28 декабря. по договоренности горадминистрация должна была заплатить ""тнс энерго нижний новгород"" (поставщик электроэнергии) по 40 миллионов рублей в ноябре и декабре этого года. в ноябре администрация перечислила средства, а в декабре – не смогла выплатить. в результате переговоров поставка электроэнергии возобновилась, и 29 декабря движение электротранспорта было восстановлено в полном объеме. ""электротранспорт будет в нижнем новгороде… у нас не везде, не в каждый район города ходят автобусы, и электротранспорт как раз нас выручает. и второй момент – это экология, он же экологически чистый. я считаю, что нужно сохранить электротранспорт в нижнем новгороде"", — сказал белов. ""нижегородэлектротранс"" является старейшим предприятием городского электрического транспорта россии, осуществляющим пассажирские перевозки социально значимых групп населения (более 35% всех пассажиров города). белов также сообщил, что сегодня передал представителям ""тнс энерго"" ""конкретные предложения по погашению задолженности"". ""они взяли тайм-аут, чтобы со своей головной компанией обсудить наши предложения … никто не заинтересован в том, чтобы электротранспорт в нижнем новгороде остановился. мы должны договориться, другого выхода нет"", — отметил глава горадминистрации, предположив, что на следующей неделе с энергетиками может быть подписан ""документ о погашении нашей задолженности""."
