theme,title,text
world,прокуратура: причиной чп с boeing во львове могло стать замыкание,"причиной аварийной посадки самолета boeing украинской авиакомпании мау во львове могло стать замыкание электропроводки над кабиной пилотов, заведено уголовное дело, сообщает прокуратура львовской области. ранее в пятницу ряд украинских сми сообщил, что в небе над львовом якобы загорелся пассажирский самолет. однако в авиакомпании пояснили, что пожара не было, но самолет, летевший в киев, вернулся в львовский аэропорт из-за запаха горелого пластика в салоне.  по данным прокуратуры, с борта самолета были эвакуированы 156 пассажиров и шесть членов экипажа в терминал а аэропорта ""львов"". пострадавших в результате выявления технической неисправности самолета нет. заведено уголовное дело по статье ""нарушение правил безопасности движения или эксплуатации воздушного транспорта""."
world,в нигерии от ласской лихорадки с ноября 2015 года погибли 45 человек,"по меньшей мере 45 человек стали жертвами ласской лихорадки в 10 штатах нигерии с ноября 2015 года, сообщает в пятницу агентство синьхуа со ссылкой на местные власти. среди погибших от лихорадки числится врач, работавший с заболевшими. вспышка лихорадки, первая за почти четыре года, началась в штате баучи на севере страны. по информации министерства здравоохранения нигерии, два последних на сегодняшний день смертельных случая были зарегистрированы в штате ондо, где 31 человек находится на карантине. согласно заявлению представителей нигерийских властей, необходимые меры по борьбе в затронутых лихорадкой штатах уже предприняты и страна сама способна справиться со вспышкой заболевания. ласская лихорадка, или геморрагическая лихорадка ласса, была впервые описана в нигерийском городе ласса в 1969 году. в ряде случаев ее симптомы сходны с признаками малярии. несмотря на высокий уровень выживаемости при диагностике на раннем этапе заболевания, во время прошлой вспышки лихорадки ласса в нигерии в 2012 году было зарегистрировано 40 смертельных случаев."
world,чеснаков: встреча суркова и нуланд должна наладить обмен информацией,"встреча помощника президента россии владислава суркова с заместителем госсекретаря сша викторией нуланд должна обеспечить необходимый диалоговый режим и своевременный обмен информацией, заявил директор центра политической конъюнктуры алексей чеснаков.  ""манипуляции киева рассчитаны на усиление противоречий между европейскими странами и сша. поэтому встреча суркова и нуланд должна обеспечить необходимый диалоговый режим и своевременный обмен информацией. особенно это актуально в части общего понимания модальности местных выборов и характера поправок в конституцию"", — добавил чеснаков."
world,при взрыве газа в ресторане в мехико пострадали до 10 человек,"от восьми до 10 человек получили ранения при взрыве газа в ресторане в мексиканской столице, сообщают в пятницу местные власти. ""экстренные службы работают на месте взрыва газа в кафе на пересечении улиц феликс куэвас и рекрео"", - написал в своем микроблоге в twitter мэр мехико мигель анхель мансера.  cuerpos de emergencia se encuentran trabajando en una explosión por gas en una cafetería en félix cuevas y recreo, evite la zona #mm — miguel ángel mancera (@manceramiguelmx) 15 января 2016 он призвал горожан избегать зоны чп. движение в районе взрыва перекрыто."
world,мид японии призвал сша и южную корею ответить на испытание в кндр,"министр иностранных дел японии фумио кисида и высокопоставленные дипломаты из сша и южной кореи подтвердили в пятницу намерение совместно добиваться жесткой резолюции в совете безопасности оон по поводу четвертого по счету ядерного испытания кндр, сообщили японские и южнокорейские сми. по сообщению агентства киодо, кисида принял в токио заместителя госсекретаря сша энтони блинкена и первого заместителя главы мид республики корея лим сон нама, которые в субботу планируют провести переговоры с заместителем министра иностранных дел японии акитакой сайки. ""трем странам — японии, сша и республики корея — необходимо сплоченно реагировать на провокационные действия (кндр)"", — приводит агентство слова кисиды. южнокорейское агентство рёнхап также передает слова главы мид японии о том, что ядерное испытание, проведенное кндр 6 января, стало ""явным нарушением"" резолюций сб оон, запрещающих пхеньяну разрабатывать и испытывать ядерное оружие. как сообщалось ранее, 13 января в сеуле состоялась еще одна трехсторонняя встреча спецпредставителя госдепа сша по кндр сунг кима, заместителя главы мид японии кимихиро исиканэ и его южнокорейского коллеги хван чун гука. они также условились усилить нажим на кндр и продолжать для этого ""контакты и тесное сотрудничество с китаем и россией"". северная корея 6 января заявила об успешном проведении испытаний водородной бомбы. эксперты высказывают сомнения в том, что было испытано термоядерное оружие, но едины во мнении, что кндр провела четвертое ядерное испытание. япония и южная корея настаивают на введении советом безопасности оон новых санкций против северной кореи. для этого им необходимо заручиться поддержкой россии и китая. южная корея в ответ возобновила вещание антипхеньянской пропаганды вдоль межкорейской границы."
world,трое испанцев и двое датчан задержаны в греции за помощь беженцам,"трое испанцев и двое датчан, занимавшиеся оказанием помощи беженцам, задержаны в греции. греческая береговая охрана задержала трех испанских пожарных из севильи, членов общественной ассоциации proem-aid, а также двух датчан из организации team humanity, сообщает испанское телевидение tve. как пояснил адвокат испанцев гаррис петсикос (harrys petsikos), прокуратура города митилини подозревает их в незаконной переправке иностранцев в страну — в основном выходцев из сирии, афганистана и ирака.  в момент задержания пятеро добровольцев находились на борту судна team humanity. они получили сигнал бедствия от судна, дрейфовавшего между берегами турции и греции. однако обнаружить судно члены общественных организаций не смогли. по их возвращению к берегам греции они были задержаны греческой береговой охраной и доставлены в полицейский участоких задержала греческая береговая охрана и доставила в полицейский участок, утверждает представитель proem-aid онио рейна. добровольцы team humanity находятся в греции с июня прошлого года, а proem-aid — с декабря. они утверждают, что ставили в известность греческие власти о своей гуманитарной миссии. "
world,два взрыва прогремели в одном из спальных районов киева,"два взрыва произошли в одном из спальных районов киева, по предварительной информации, в результате происшествия никто не пострадал, сообщила в пятницу пресс-служба национальной полиции украины в киеве. ""правоохранители получили сообщение о взрывах на улице. по вызову отправилась следственно-оперативная группа райуправления милиции"", — сообщили в пресс-службе. в ходе проверки установлено, что взрывы произошли возле автобуса представителей службы благоустройства города, которые прибыли для проверки деятельности автомобильной мойки. возбуждено уголовное дело по статье ""хулиганство""."
world,"гпу: россиянина, якобы состоявшего в ополчении, приговорили к 13 годам","попаснянский районный суд луганской области украины приговорил гражданина российской федерации, якобы принимавшего участие в военном конфликте в донбассе на стороне ополченцев самопровозглашенной луганской народной республики, к 13 годам лишения свободы с конфискацией имущества, заявила в пятницу генпрокуратура (гп) страны. в сообщении ведомства никакие подробности о личности россиянина не приводятся. ""попаснянский районный суд луганской области вынес приговор и признал виновным в совершении уголовных преступлений… гражданина российской федерации, которому назначил наказание в виде 13 лет лишения свободы с конфискацией всего принадлежащего ему имущества"", — говорится в сообщении пресс-службы генпрокуратуры. как утверждают в ведомстве, суд признал россиянина виновным в нарушении въезда на ""временно оккупированную территорию"", незаконном обращении с оружием, создании террористической группировки, совершении преступления в составе преступной группировки, а также планировании и ведении ""агрессивной войны"". власти украины в апреле 2014 года начали военную операцию против самопровозглашенных лнр и днр. по последним данным оон, жертвами конфликта стали более 9 тысяч человек. вопрос урегулирования ситуации в донбассе обсуждается, в том числе в ходе встреч в минске контактной группы, которая с сентября 2014 года приняла уже три документа, регламентирующих шаги по деэскалации конфликта."
world,прокурор: архив януковича приобщен к уголовному делу против него,"генеральная прокуратура украины приобщила архив бывшего президента виктора януковича и его семьи к уголовному делу против него в качестве дополнительной доказательной базы, сообщил в пятницу риа новости прокурор гпу владислав куценко. в декабре прошлого года премьер-министр арсений яценюк заявил, что украинские правоохранители обнаружили архив бывшего президента януковича и его семьи. по данным следователей, изъяты документы по более чем 330 офшорным фирмам, личные документы бывшего президента, а также оригиналы документов на недвижимость, в частности резиденцию ""межигорье"". украинские правоохранители подозревают януковича в создании преступной организации, злоупотреблении служебным положением, растрате госимущества и по ряду других статей. на украине 22 февраля 2014 года произошел госпереворот, новые власти хотят привлечь к ответственности отстраненного от власти виктора януковича и многих бывших чиновников. в отношении прежних украинских властей расследуются уголовные дела, в частности, по фактам хищения государственных средств, финансовых махинаций, захвата земель и злоупотребления служебным положением."
world,в макао задержана группа из двенадцати полицейских-вымогателей,"группа из 12 полицейских, которые, предположительно, занимались вымогательством в казино, задержана в макао на юго-востоке китая, пишет в пятницу газета south china morning post со ссылкой на источники. сообщается, что все задержанные являются сотрудниками уголовной разведки полиции макао и, по неофициальным данным, работниками миграционной службы автономной территории. по данным источника газеты, задержанные занимали высокие посты в полиции и состояли на службе более 10 лет. задержание было произведено в четверг. сообщается, что полицейские вымогали деньги у vip-клиентов местного крупного казино. в настоящий момент ведется расследование. автономная территория макао — бывшая колония португалии. макао стал одним из двух специальных административных районов кнр в 1999 году. является крупным финансовым центром, известным своими казино, ипподромом и ночными клубами. с 2010 года игорный бизнес приносит бюджету макао более 70% доходов."
