theme,title,text
politics,ушаков: россия попробует вписать встречу путина с трампом на g20 в график,"рф предложит сша программу пребывания в гамбурге на саммите g20, попробует вписать эту важную встречу в график, сообщил помощник российского президента юрий ушаков. "
politics,"формат встречи путина и трампа еще будет обсуждаться, заявил ушаков","формат встречи президентов россии и сша владимира путина и дональда трампа еще будет обсуждаться, сообщил помощник российского президента юрий ушаков. "
politics,"в цик надеются, что не придется зеркально отвечать на недопуск наблюдателей","глава цик россии элла памфилова заявила, что по линии наблюдательных институтов центризбирком не сталкивался с проблемой недопуска российских наблюдателей на выборы в другие страны; она выразила надежду, что и в будущем не возникнет таких ситуаций, и не будет необходимости отвечать на них зеркально, как это предложила делать спикер совфеда валентина матвиенко.  глава ведомства пояснила, что пока цик не сталкивался с такими случаями, когда кому-то из российских наблюдателей, желающих осуществлять наблюдение за выборами в других странах через официальные площадки обсе, парламентской ассамблеи, отказывали бы в этом.  "
politics,кабмин не поддержал предложение лдпр сделать выходным день после пасхи,"правительство дало отрицательное заключение на законопроект лдпр, в котором предлагается сделать выходным понедельник после пасхи, сообщает пресс-служба депутата от лдпр, соавтора проекта закона ярослава нилова. в апреле депутаты от лдпр внесли в госдуму законопроект, в котором предлагается ввести в рф дополнительный выходной — день, следующий за праздником пасхи. ""с учетом многонационального и многоконфессионального состава населения российской федерации принятие законопроекта может привести к возникновению напряженности в сфере межнациональных и межрелигиозных отношений, а также нарушению конституционного принципа – равенства религиозных объединений перед законом"", — говорится в отзыве правительства, который цитирует пресс-служба главы комитета госдумы по труду, социальной политике и делам ветеранов ярослава нилова. в кабмине отмечают, что данная законодательная инициатива нуждается в широком обсуждении с представителями экспертного сообщества и религиозных объединений. в свою очередь нилов добавил, что с мнением о широком обсуждении в среде экспертного сообщества и религиозных объединений, безусловно, можно согласиться. депутат отметил, что не согласен с тем, что законопроект может стать причиной возникновения напряженности в сфере межнациональных и межрелигиозных отношений."
politics,россия продлила ответные меры на санкции запада до конца 2018 года,"президент россии владимир путин подписал указ о продлении ответных мер на санкции запада до 31 декабря 2018 года, документ опубликован на официальном портале правовой информации. правительству поручено обеспечить меры по реализации указа и при необходимости вносить предложения об изменении срока действия санкций. в среду совет ес на полгода продлил экономические ограничительные меры против россии, действующие до конца июля 2017 года. таким образом совет закрепил политическое решение, принятое лидерами стран-членов евросоюза на саммите 22 июня. санкции запада в отношении россии действуют с марта 2014 года в связи с ситуацией на украине. они неоднократно расширялись, а срок их действия продлевался. "
politics,"""прояснить будущее"": лавров рассказал, чего ждет от встречи путина и трампа","москва рассчитывает, что встреча президентов россии и сша владимира путина и дональда трампа внесет ясность в отношения между странами. по словам главы мид сергея лаврова, от решения двусторонних проблем зависит решение множества международных вопросов. с начала года владимир путин и дональд трамп уже трижды общались по телефону. в начале мая политики высказались за личную встречу на саммите ""большой двадцатки"", который пройдет в немецком гамбурге 7-8 июля. надежды москвы по словам лаврова, предстоящая встреча двух лидеров очень важна для всего мира. ""особое значение в сегодняшнем мире придается отношениям между россией и соединенными штатами, от которых зависит решение множества международных проблем — от обеспечения стратегической стабильности до урегулирования региональных кризисов"", — заявил дипломат, выступая на ""примаковских чтениях"". лавров подчеркнул, что первая встреча путина и трампа будет знаменовать начало нового этапа в отношениях между москвой и вашингтоном. министр также выразил надежду, что аномальная атмосфера, царящая в американских политических кругах, скоро пройдет. в конгрессе прошел целый ряд громких слушаний по ""российскому вмешательству"", однако представители разведки отказались представить какие-либо доказательства этому, ссылаясь на секретность информации. в понедельник агентство ассошиэйтед пресс сообщило о разногласиях в белом доме по поводу встречи дональда трампа и владимира путина."
politics,пять кандидатов будут бороться за пост губернатора калининградской области,"пять кандидатов от пяти региональных отделений политических партий будут бороться за пост губернатора калининградской области на предстоящих выборах 10 сентября, сообщила пресс-служба областной избирательной комиссии в пятницу. ""закончен этап выдвижения кандидатов. с 9 по 29 июня региональные отделения политических партий могли провести выдвижение кандидатов на съезде политической партии либо конференции. в янтарном крае этим правом воспользовались пять избирательных объединений, в облизбирком поступили документы на выдвижение от пяти кандидатов"", — говорится в сообщении.  в избиркоме отметили, что каждый из кандидатов получил письменное подтверждение о приеме документов и разрешение на открытие специального избирательного счета кандидата для формирования избирательного фонда. с момента получения данных документов кандидаты могут начать сбор подписей в поддержку своего выдвижения."
politics,"песков рассказал, предлагал ли киссинджер помощь на встрече путина и трампа","бывший госсекретарь сша генри киссинджер, встречавшийся в четверг с президентом рф владимиром путиным, не предлагал выступить посредником на встрече путина с президентом сша дональдом трампом, сообщил пресс-секретарь главы государства дмитрий песков. в четверг советник американского президента по национальной безопасности герберт макмастер сообщил журналистам, что в ходе саммита g20 в гамбурге, который состоится 7-8 июля, трамп проведет встречи со многими мировыми лидерами, в том числе с путиным. ""не пытался, этого не было"", — сказал песков, отвечая на вопрос, не пытался ли киссинджер предложить себя в качестве посредника для более обстоятельной встречи путина с трампом. песков отметил, что в продолжение давних многолетних контактов традиционно президент и экс-госсекретарь используют совпадение в графиках для проведения личных встреч. киссинджер занимал пост госсекретаря в 1970-е годы. является одним из авторов политики разрядки в отношениях с ссср. на протяжении последних десятилетий киссинджер — один из наиболее влиятельных экспертов в вопросах внешней политики сша. на протяжении многих лет путин и киссинджер сохраняют теплые личные отношения, в случаях, когда предоставляется возможность, они проводят встречи, чтобы неформально обменяться мнениями о том, что происходит как между рф и сша, так и в мире. в этот раз экс-госсекретарь приехал в москву для участия в конференции ""примаковские чтения""."
politics,глава цик надеется на отмену муниципального фильтра на выборах,"глава цик россии элла памфилова надеется на отмену в будущем муниципального фильтра на российских выборах, за такой шаг, по её словам, высказываются практически все участники заседания недавно созданной рабочей группы по совершенствованию избирательного законодательства. в ходе заседания цик в пятницу глава комиссии сообщила, что 22 июля состоялась встреча рабочей группы под руководством первого замглавы администрации кремля сергея кириенко. она сказала, что этой встречей был ""дан старт большой системной работе по анализу и систематизации всего избирательного законодательства"".  вместе с тем она выразила надежду, что руководители регионов, где в 2017 году в единый день голосования 10 сентября пройдут выборы, сделают все возможное, чтобы бюрократических препятствий для кандидатов было. ""надеюсь, что в будущем мы эту проблему решим и отменим их. надеюсь, что законодатели тоже придут к этому выводу"", — заявила глава цик."
politics,в кремле сообщили о начале подготовки встречи путина и трампа,"формат встречи президентов россии и сша владимира путина и дональда трампа пока не определен, подготовка ведется по дипломатическим каналам, сказал пресс-секретарь российского лидера дмитрий песков.  ""я прошу вас не забывать, что мы с самого начала говорили, что президенты так или иначе встретятся в гамбурге, но в каком формате, вот сейчас принято решение подумать о времени и конкретном формате"", — сказал песков. в четверг советник американского президента по национальной безопасности герберт макмастер сообщил журналистам, что в ходе саммита g20 в гамбурге, который состоится 7-8 июля, трамп проведет встречи со многими мировыми лидерами, в том числе с путиным."
