theme,title,text
world,в раде предложили создать комиссию по расследованию фактов коррупции,"""радикальная партия"" украины предлагает создать в верховной раде комиссию по расследованию фактов политической коррупции в стране, соответствующий проект постановления зарегистрирован на официальном сайте парламента в понедельник. полный текст проекта документа пока отсутствует на сайте рады. ранее лидер фракции ""радикальной партии"" потребовал расследовать факты политической коррупции, обнародованные народным депутатом александром онищенко.  против онищенко возбуждено дело по статье ""хищение госимущества в особо крупных размерах"". по данным правоохранителей, с января 2013 года по январь 2016 года служебные лица ряда предприятий, в том числе компании ""укргаздобыча"" при содействии онищенко, получали государственные средства путем продажи газа внутренней добычи по заниженной цене. эти действия нанесли ущерб государству на сумму около 120,5 миллиона долларов. позже рада дала согласие на привлечение онищенко к уголовной ответственности, его задержание и арест, перед этим он покинул украину. кроме того, депутат подозревается в госизмене и подготовке дестабилизации ситуации на украине."
world,президент абхазии назначил парламентские выборы на 12 марта 2017 года,"президент абхазии рауль хаджимба подписал указ о назначении выборов в парламент на 12 марта 2017 года, сообщается в понедельник на сайте главы республики. "
world,"жизнь россиянина, пострадавшего в ж/д аварии в болгарии, под угрозой","жизнь одного из двух граждан россии, пострадавших в крупной железнодорожной аварии на северо-востоке болгарии, находится под угрозой, сообщила риа новости пресс-секретарь генконсульства рф в варне александра дергачева. поезд, перевозивший цистерны со сжиженным газом, сошел с рельсов в субботу утром в районе железнодорожной станции села хитрино шуменской области болгарии. из 26 цистерн 23 были заполнены сжиженным газом, в результате аварии произошел взрыв, которым были разрушены не менее 50 жилых домов и других зданий. жертвами инцидента стали семь человек, еще 29 получили ранения.  она отметила, что мать находится в отделении больницы города шумен, а сын – в военно-морской клинике варны, им обоим оказывается необходимая медицинская помощь, об изменении их состояния сотрудники медучреждений будут информировать российское генконсульство."
world,в италии на винодельне неизвестные уничтожили 400 тысяч бутылок вина,"неизвестные на одной из виноделен на севере италии уничтожили несколько сотен тонн игристого вина, что эквивалентно 400 тысячам бутылок напитка, сообщает газета telеgraph.  ""это был невероятный шок"", — прокомментировала произошедшее управляющая винодельней оттавия джорджи ди вистарино. ""мы были потрясены, но это нас не остановит. мы должны снова закатить рукава и вернуться к работе"", — добавила она. в настоящее время ведется расследование. владельцы винодельни сообщили, что не получали угроз и не представляют, кто может стоять за этими действиями."
world,глава мид польши опроверг слухи о своей скорой отставке,"глава мид польши витольд ващиковский опроверг информацию о своей возможной отставке. в ходе интервью журналу dorzeczy министра попросили прокомментировать регулярно появляющуюся в сми информацию о том, что он вскоре покинет свой пост, а также соответствующие требования польской оппозиции. ""я трактую это в категориях мышления… определенных сред. раз со мной нельзя провести предметную дискуссию на тему польской иностранной политики и о том, сколько мы сделали, они пробуют меня дезавуировать"", — считает ващиковский. ""я напомню, что у меня была возможность уйти в европейский парламент еще перед (июльским) саммитом нато. я ею не воспользовался. для кого-то, кто занимается внешней политикой, наибольшей амбицией является возможность проверки при создании этой политики. я считаю, что мы делаем массу хороших вещей, и, несмотря на то, как это оценивают наши критики, реальным эффектом этих действий является большая безопасность нашей страны. я через день читаю, что меня уже увольняют, что ищут преемника. никто не ищет"", — заключил он. "
world,сми: число погибших при аварии в медном руднике в турции достигло 16,"спасатели извлекли из-под завалов тело последнего пропавшего рабочего после аварии на руднике по добыче меди в районе города ширван в провинции сиирт на юго-востоке турции, число погибших в результате аварии достигло 16, сообщает в понедельник газета sabah. "
world,в белоруссии заключили под стражу третьего корреспондента regnum,"третий корреспондент российского агентства regnum сергей шиптенко заключен в белоруссии под стражу в связи с обвинением в разжигании розни по признакам национальной, языковой и иной социальной принадлежности, сообщило в понедельник агентство белапан. следственный комитет белоруссии в пятницу подтвердил задержание корреспондента агентства regnum сергея шиптенко по подозрению в совершении умышленных действий, направленных на возбуждение у различных групп населения россии и белоруссии розни по признакам национальной, языковой и иной социальной принадлежности. ранее сообщалось, что помещены под стражу по таким же обвинениям еще два корреспондента regnum.  агентство белапан утверждает, что речь идет об авторе regnum шиптенко."
world,цик приднестровья официально объявил о победе красносельского на выборах,"центральная избирательная комиссия непризнанной приднестровской молдавской республики (пмр) официально объявила о победе спикера парламента вадима красносельского на президентских выборах.  приднестровье, 60% жителей которого составляют русские и украинцы, добивалось выхода из состава молдавии еще до распада ссср, опасаясь, что на волне национализма молдавия присоединится к румынии. в 1992 году, после неудавшейся попытки властей молдавии силой решить проблему, приднестровье стало фактически неподконтрольной кишиневу территорией."
world,медведчук назвал дискриминацией решение выселить русский культурный центр,"лидер общественного движения ""украинский выбор — право народа"" виктор медведчук назвал ""дискриминацией русскоязычного населения"" решение суда во львове о выселении русского культурного центра из занимаемого им помещения.  в октябре львовский областной совет поручил вернуть в коммунальную собственность здание во львове, в котором находится русский культурный центр, и после ремонта передать в аренду общественным организациям. по данным сми, здание по улице короленко, 1а еще с 1990 года арендуется общественной организацией ""общество друзей русской и украинской культуры имени пушкина"" (впоследствии переименована в ""русское общество имени ""пушкина"" при котором был основан русский культурный центр). русский культурный центр ранее в открытом обращении к президенту украины петру порошенко попросил защитить организацию от ""безосновательных"" попыток львовского областного совета отобрать у центра его помещение во львове. по данным организации, одним из формальных поводов для достижения поставленной цели областные власти используют обвинения в том, что русский культурный центр содержит помещение в неудовлетворительном техническом состоянии. однако, как отметили в культурном центре, на это есть объективные причины — за последнее время центр подвергся более 40 нападениям, а в 2014 году в помещении произошел пожар. при этом за собранные средства центр уже починил крышу здания, а к концу года в помещении планировалось провести полный ремонт."
world,"ренци полагает, что выборы в италии могут пройти в июне","ушедший в отставку с поста премьер-министра италии маттео ренци полагает, что досрочные парламентские выборы могут пройти в июне следующего года.  ренци подал в отставку с поста премьер-министра 7 декабря. решение покинуть занимаемую должность он принял после того, как на состоявшемся 4 декабря референдуме большинство граждан страны отклонили предложенную им конституционную реформу. глава государства, проведя трехдневные консультации с политическими силами страны, предложил паоло джентилони, занимавшему в правительстве ренци кресло министра иностранных дел, сформировать новое правительство."
